date,strategy,asset,weight
2018-02-01,Equal Weight,SPY,0.1
2018-02-01,Equal Weight,QQQ,0.1
2018-02-01,Equal Weight,IWM,0.1
2018-02-01,Equal Weight,EFA,0.1
2018-02-01,Equal Weight,EEM,0.1
2018-02-01,Equal Weight,TLT,0.1
2018-02-01,Equal Weight,IEF,0.1
2018-02-01,Equal Weight,LQD,0.1
2018-02-01,Equal Weight,GLD,0.1
2018-02-01,Equal Weight,VNQ,0.1
2018-02-01,Minimum Variance,SPY,0.10947060672072872
2018-02-01,Minimum Variance,QQQ,0.008154778387572469
2018-02-01,Minimum Variance,IWM,0.0
2018-02-01,Minimum Variance,EFA,0.3
2018-02-01,Minimum Variance,EEM,0.3
2018-02-01,Minimum Variance,TLT,2.424229470865489e-17
2018-02-01,Minimum Variance,IEF,6.5880105055071345e-18
2018-02-01,Minimum Variance,LQD,6.851861268576849e-18
2018-02-01,Minimum Variance,GLD,0.0005680317806364231
2018-02-01,Minimum Variance,VNQ,0.28180658311106227
2018-02-01,Maximum Sharpe,SPY,0.0999999999999996
2018-02-01,Maximum Sharpe,QQQ,7.7021722333370235e-16
2018-02-01,Maximum Sharpe,IWM,0.3
2018-02-01,Maximum Sharpe,EFA,0.0
2018-02-01,Maximum Sharpe,EEM,0.2999999999999974
2018-02-01,Maximum Sharpe,TLT,4.98732999343332e-16
2018-02-01,Maximum Sharpe,IEF,8.135853102331225e-16
2018-02-01,Maximum Sharpe,LQD,9.037909309839165e-16
2018-02-01,Maximum Sharpe,GLD,9.540979117872439e-17
2018-02-01,Maximum Sharpe,VNQ,0.3
2018-03-01,Equal Weight,SPY,0.1
2018-03-01,Equal Weight,QQQ,0.1
2018-03-01,Equal Weight,IWM,0.1
2018-03-01,Equal Weight,EFA,0.1
2018-03-01,Equal Weight,EEM,0.1
2018-03-01,Equal Weight,TLT,0.1
2018-03-01,Equal Weight,IEF,0.1
2018-03-01,Equal Weight,LQD,0.1
2018-03-01,Equal Weight,GLD,0.1
2018-03-01,Equal Weight,VNQ,0.1
2018-03-01,Minimum Variance,SPY,0.11569399809706823
2018-03-01,Minimum Variance,QQQ,0.0190811690312877
2018-03-01,Minimum Variance,IWM,6.402348824402872e-17
2018-03-01,Minimum Variance,EFA,0.3
2018-03-01,Minimum Variance,EEM,0.3
2018-03-01,Minimum Variance,TLT,0.0
2018-03-01,Minimum Variance,IEF,1.6886792943596554e-17
2018-03-01,Minimum Variance,LQD,1.0911915177893325e-17
2018-03-01,Minimum Variance,GLD,0.01883940503117475
2018-03-01,Minimum Variance,VNQ,0.24638542784046927
2018-03-01,Maximum Sharpe,SPY,0.17942065415114977
2018-03-01,Maximum Sharpe,QQQ,1.4669403624494644e-16
2018-03-01,Maximum Sharpe,IWM,0.2999999999999997
2018-03-01,Maximum Sharpe,EFA,1.716376742339279e-16
2018-03-01,Maximum Sharpe,EEM,0.23245845009545182
2018-03-01,Maximum Sharpe,TLT,2.696965609551901e-16
2018-03-01,Maximum Sharpe,IEF,1.6631513095161869e-16
2018-03-01,Maximum Sharpe,LQD,3.755655149666106e-16
2018-03-01,Maximum Sharpe,GLD,0.0
2018-03-01,Maximum Sharpe,VNQ,0.28812089575339755
2018-05-01,Equal Weight,SPY,0.1
2018-05-01,Equal Weight,QQQ,0.1
2018-05-01,Equal Weight,IWM,0.1
2018-05-01,Equal Weight,EFA,0.1
2018-05-01,Equal Weight,EEM,0.1
2018-05-01,Equal Weight,TLT,0.1
2018-05-01,Equal Weight,IEF,0.1
2018-05-01,Equal Weight,LQD,0.1
2018-05-01,Equal Weight,GLD,0.1
2018-05-01,Equal Weight,VNQ,0.1
2018-05-01,Minimum Variance,SPY,0.11751422907637399
2018-05-01,Minimum Variance,QQQ,0.030680823713886
2018-05-01,Minimum Variance,IWM,0.0
2018-05-01,Minimum Variance,EFA,0.3
2018-05-01,Minimum Variance,EEM,0.3
2018-05-01,Minimum Variance,TLT,0.02767787017095271
2018-05-01,Minimum Variance,IEF,0.0
2018-05-01,Minimum Variance,LQD,2.0733672482890764e-17
2018-05-01,Minimum Variance,GLD,0.03490172824861535
2018-05-01,Minimum Variance,VNQ,0.189225348790172
2018-05-01,Maximum Sharpe,SPY,0.2462577072063893
2018-05-01,Maximum Sharpe,QQQ,0.14221236570748857
2018-05-01,Maximum Sharpe,IWM,0.2999999999999999
2018-05-01,Maximum Sharpe,EFA,1.2669114143729928e-16
2018-05-01,Maximum Sharpe,EEM,0.0
2018-05-01,Maximum Sharpe,TLT,0.0
2018-05-01,Maximum Sharpe,IEF,4.230844868240503e-17
2018-05-01,Maximum Sharpe,LQD,0.0
2018-05-01,Maximum Sharpe,GLD,0.011529927086122228
2018-05-01,Maximum Sharpe,VNQ,0.2999999999999999
2018-06-01,Equal Weight,SPY,0.1
2018-06-01,Equal Weight,QQQ,0.1
2018-06-01,Equal Weight,IWM,0.1
2018-06-01,Equal Weight,EFA,0.1
2018-06-01,Equal Weight,EEM,0.1
2018-06-01,Equal Weight,TLT,0.1
2018-06-01,Equal Weight,IEF,0.1
2018-06-01,Equal Weight,LQD,0.1
2018-06-01,Equal Weight,GLD,0.1
2018-06-01,Equal Weight,VNQ,0.1
2018-06-01,Minimum Variance,SPY,0.10974924899945757
2018-06-01,Minimum Variance,QQQ,0.03803200392006888
2018-06-01,Minimum Variance,IWM,1.2088748344094969e-17
2018-06-01,Minimum Variance,EFA,0.3
2018-06-01,Minimum Variance,EEM,0.2999999999999999
2018-06-01,Minimum Variance,TLT,0.04375261834994825
2018-06-01,Minimum Variance,IEF,0.0
2018-06-01,Minimum Variance,LQD,0.0
2018-06-01,Minimum Variance,GLD,0.030825948086420328
2018-06-01,Minimum Variance,VNQ,0.17764018064410514
2018-06-01,Maximum Sharpe,SPY,0.13601755119189238
2018-06-01,Maximum Sharpe,QQQ,0.2732479291893701
2018-06-01,Maximum Sharpe,IWM,0.2999999999999999
2018-06-01,Maximum Sharpe,EFA,0.0
2018-06-01,Maximum Sharpe,EEM,1.2575432299763605e-16
2018-06-01,Maximum Sharpe,TLT,0.0
2018-06-01,Maximum Sharpe,IEF,0.0
2018-06-01,Maximum Sharpe,LQD,1.7857609168180224e-16
2018-06-01,Maximum Sharpe,GLD,0.09921709659007603
2018-06-01,Maximum Sharpe,VNQ,0.19151742302866137
2018-08-01,Equal Weight,SPY,0.1
2018-08-01,Equal Weight,QQQ,0.1
2018-08-01,Equal Weight,IWM,0.1
2018-08-01,Equal Weight,EFA,0.1
2018-08-01,Equal Weight,EEM,0.1
2018-08-01,Equal Weight,TLT,0.1
2018-08-01,Equal Weight,IEF,0.1
2018-08-01,Equal Weight,LQD,0.1
2018-08-01,Equal Weight,GLD,0.1
2018-08-01,Equal Weight,VNQ,0.1
2018-08-01,Minimum Variance,SPY,0.1004734016348499
2018-08-01,Minimum Variance,QQQ,0.05150893057210106
2018-08-01,Minimum Variance,IWM,4.9869064769596944e-20
2018-08-01,Minimum Variance,EFA,0.3
2018-08-01,Minimum Variance,EEM,0.30000000000000004
2018-08-01,Minimum Variance,TLT,0.037629404025929875
2018-08-01,Minimum Variance,IEF,8.416225243037136e-18
2018-08-01,Minimum Variance,LQD,1.4350855708855987e-17
2018-08-01,Minimum Variance,GLD,0.03013438282285479
2018-08-01,Minimum Variance,VNQ,0.18025388094426434
2018-08-01,Maximum Sharpe,SPY,0.14542039731367304
2018-08-01,Maximum Sharpe,QQQ,0.0640781131332608
2018-08-01,Maximum Sharpe,IWM,0.30000000000000043
2018-08-01,Maximum Sharpe,EFA,0.0
2018-08-01,Maximum Sharpe,EEM,0.30000000000000043
