rebalance_date,strategy,asset,estimated_return
2018-02-01,Equal Weight,GLD,0.02003867268856076
2018-02-01,Equal Weight,TLT,-0.007014016414790954
2018-02-01,Equal Weight,QQQ,0.19338212775072183
2018-02-01,Equal Weight,IEF,-0.003138217881203706
2018-02-01,Equal Weight,LQD,0.023481144943445432
2018-02-01,Equal Weight,EFA,0.10115377831681298
2018-02-01,Equal Weight,VNQ,0.026110016863700958
2018-02-01,Equal Weight,EEM,0.12785132712349886
2018-02-01,Equal Weight,IWM,0.12688376799968754
2018-02-01,Equal Weight,SPY,0.14298148289168888
2018-02-01,Minimum Variance,GLD,0.02003867268856076
2018-02-01,Minimum Variance,TLT,-0.007014016414790954
2018-02-01,Minimum Variance,QQQ,0.19338212775072183
2018-02-01,Minimum Variance,IEF,-0.003138217881203706
2018-02-01,Minimum Variance,LQD,0.023481144943445432
2018-02-01,Minimum Variance,EFA,0.10115377831681298
2018-02-01,Minimum Variance,VNQ,0.026110016863700958
2018-02-01,Minimum Variance,EEM,0.12785132712349886
2018-02-01,Minimum Variance,IWM,0.12688376799968754
2018-02-01,Minimum Variance,SPY,0.14298148289168888
2018-02-01,Maximum Sharpe,GLD,0.02003867268856076
2018-02-01,Maximum Sharpe,TLT,-0.007014016414790954
2018-02-01,Maximum Sharpe,QQQ,0.19338212775072183
2018-02-01,Maximum Sharpe,IEF,-0.003138217881203706
2018-02-01,Maximum Sharpe,LQD,0.023481144943445432
2018-02-01,Maximum Sharpe,EFA,0.10115377831681298
2018-02-01,Maximum Sharpe,VNQ,0.026110016863700958
2018-02-01,Maximum Sharpe,EEM,0.12785132712349886
2018-02-01,Maximum Sharpe,IWM,0.12688376799968754
2018-02-01,Maximum Sharpe,SPY,0.14298148289168888
2018-03-01,Equal Weight,GLD,0.033258179939751976
2018-03-01,Equal Weight,TLT,0.0036516646306501144
2018-03-01,Equal Weight,QQQ,0.1668092276196116
2018-03-01,Equal Weight,IEF,0.00204738351147186
2018-03-01,Equal Weight,LQD,0.020688170792123175
2018-03-01,Equal Weight,EFA,0.06469040457576293
2018-03-01,Equal Weight,VNQ,0.012288150009266696
2018-03-01,Equal Weight,EEM,0.0943085117720681
2018-03-01,Equal Weight,IWM,0.09512718733792519
2018-03-01,Equal Weight,SPY,0.11321647592582977
2018-03-01,Minimum Variance,GLD,0.033258179939751976
