date,strategy,rolling_12m_return,rolling_12m_volatility,rolling_12m_sharpe
2018-02-01,Equal Weight,,,
2018-02-02,Equal Weight,,,
2018-02-05,Equal Weight,,,
2018-02-06,Equal Weight,,,
2018-02-07,Equal Weight,,,
2018-02-08,Equal Weight,,,
2018-02-09,Equal Weight,,,
2018-02-12,Equal Weight,,,
2018-02-13,Equal Weight,,,
2018-02-14,Equal Weight,,,
2018-02-15,Equal Weight,,,
2018-02-16,Equal Weight,,,
2018-02-20,Equal Weight,,,
2018-02-21,Equal Weight,,,
2018-02-22,Equal Weight,,,
2018-02-23,Equal Weight,,,
2018-02-26,Equal Weight,,,
2018-02-27,Equal Weight,,,
2018-02-28,Equal Weight,,,
2018-03-01,Equal Weight,,,
2018-03-02,Equal Weight,,,
2018-03-05,Equal Weight,,,
2018-03-06,Equal Weight,,,
2018-03-07,Equal Weight,,,
2018-03-08,Equal Weight,,,
2018-03-09,Equal Weight,,,
2018-03-12,Equal Weight,,,
2018-03-13,Equal Weight,,,
2018-03-14,Equal Weight,,,
2018-03-15,Equal Weight,,,
2018-03-16,Equal Weight,,,
2018-03-19,Equal Weight,,,
2018-03-20,Equal Weight,,,
2018-03-21,Equal Weight,,,
2018-03-22,Equal Weight,,,
2018-03-23,Equal Weight,,,
2018-03-26,Equal Weight,,,
2018-03-27,Equal Weight,,,
2018-03-28,Equal Weight,,,
2018-03-29,Equal Weight,,,
2018-04-02,Equal Weight,,,
2018-04-03,Equal Weight,,,
2018-04-04,Equal Weight,,,
2018-04-05,Equal Weight,,,
2018-04-06,Equal Weight,,,
2018-04-09,Equal Weight,,,
2018-04-10,Equal Weight,,,
2018-04-11,Equal Weight,,,
2018-04-12,Equal Weight,,,
2018-04-13,Equal Weight,,,
2018-04-16,Equal Weight,,,
2018-04-17,Equal Weight,,,
2018-04-18,Equal Weight,,,
2018-04-19,Equal Weight,,,
2018-04-20,Equal Weight,,,
2018-04-23,Equal Weight,,,
2018-04-24,Equal Weight,,,
2018-04-25,Equal Weight,,,
2018-04-26,Equal Weight,,,
2018-04-27,Equal Weight,,,
2018-04-30,Equal Weight,,,
2018-05-01,Equal Weight,,,
2018-05-02,Equal Weight,,,
2018-05-03,Equal Weight,,,
2018-05-04,Equal Weight,,,
2018-05-07,Equal Weight,,,
2018-05-08,Equal Weight,,,
2018-05-09,Equal Weight,,,
2018-05-10,Equal Weight,,,
2018-05-11,Equal Weight,,,
2018-05-14,Equal Weight,,,
2018-05-15,Equal Weight,,,
2018-05-16,Equal Weight,,,
2018-05-17,Equal Weight,,,
2018-05-18,Equal Weight,,,
2018-05-21,Equal Weight,,,
2018-05-22,Equal Weight,,,
2018-05-23,Equal Weight,,,
2018-05-24,Equal Weight,,,
2018-05-25,Equal Weight,,,
2018-05-29,Equal Weight,,,
2018-05-30,Equal Weight,,,
2018-05-31,Equal Weight,,,
2018-06-01,Equal Weight,,,
2018-06-04,Equal Weight,,,
2018-06-05,Equal Weight,,,
2018-06-06,Equal Weight,,,
2018-06-07,Equal Weight,,,
2018-06-08,Equal Weight,,,
2018-06-11,Equal Weight,,,
2018-06-12,Equal Weight,,,
2018-06-13,Equal Weight,,,
2018-06-14,Equal Weight,,,
2018-06-15,Equal Weight,,,
2018-06-18,Equal Weight,,,
2018-06-19,Equal Weight,,,
2018-06-20,Equal Weight,,,
2018-06-21,Equal Weight,,,
2018-06-22,Equal Weight,,,
2018-06-25,Equal Weight,,,
2018-06-26,Equal Weight,,,
