asset,mean_volatility,std_volatility,min_volatility,max_volatility,cv_volatility
EEM,0.20970380990844645,0.03153429627556488,0.16366896677395754,0.25954756180539373,0.15037540943739783
EFA,0.17605057624407547,0.03264017823463171,0.11302803877585059,0.2339157091243703,0.18540228002082515
GLD,0.14445652591081456,0.02082433362405409,0.10445252430057857,0.20523231134024908,0.1441564061765596
IEF,0.06599894605337873,0.014589203151067306,0.0437648514153497,0.08892728479831553,0.22105206254760232
IWM,0.23396839239338682,0.04991492831423956,0.1531010703394416,0.3125771977901818,0.21334047647903753
LQD,0.08858457577042772,0.025949783541111236,0.04315659153873211,0.12825770471163206,0.29293794450584343
QQQ,0.22836614616554055,0.041325244159676366,0.14955069063594428,0.2983023392291227,0.18096046569757354
SPY,0.18430389046354964,0.04150930091594952,0.1179053419850501,0.25076137764300865,0.22522205478977092
TLT,0.15286486998008073,0.026327055868220373,0.09979440181651932,0.19107654678636202,0.17222436961252743
VNQ,0.21464928147913,0.051942118105536915,0.13407504222970182,0.2962253633988062,0.2419859863848981
