strategy,asset,mean_weight,median_weight,min_weight,max_weight,std_weight,avg_abs_monthly_change
Equal Weight,EEM,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Equal Weight,EFA,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Equal Weight,GLD,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Equal Weight,IEF,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Equal Weight,IWM,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Equal Weight,LQD,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Equal Weight,QQQ,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Equal Weight,SPY,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Equal Weight,TLT,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Equal Weight,VNQ,0.09999999999999998,0.1,0.1,0.1,1.2585719308128047e-16,0.0
Minimum Variance,EEM,0.2756359154400122,0.2999999999999999,0.1915238864884056,0.3,0.036680372904482894,0.004187429199694866
Minimum Variance,EFA,0.29999999999999993,0.3,0.2999999999999999,0.3,4.21412527919347e-16,3.75767792950053e-17
Minimum Variance,GLD,0.007483871850896301,5.9307129384377974e-18,0.0,0.0708428221592274,0.0160687996148046,0.0029621684998946446
Minimum Variance,IEF,8.58632462774947e-18,0.0,0.0,3.9289317256348876e-17,1.2192444497572742e-17,1.2967327504158745e-17
Minimum Variance,IWM,4.643228024037777e-18,0.0,0.0,6.402348824402871e-17,1.006372872783249e-17,8.082140147619697e-18
Minimum Variance,LQD,0.012502692296994801,1.6468543956110147e-17,0.0,0.0556770486881473,0.01858707998729478,0.002392799963999073
Minimum Variance,QQQ,0.0671680704305725,0.0520252800316481,0.0,0.1729551755087894,0.06320032931886813,0.007390468591169967
Minimum Variance,SPY,0.15849695393830496,0.14426374030619454,0.0962543657494797,0.2281167534178964,0.0441641680635735,0.008789929954042092
Minimum Variance,TLT,0.04717620965626693,0.045878660673485255,0.0,0.1117118790167402,0.041142867282314116,0.010408767984792358
Minimum Variance,VNQ,0.13153628638695214,0.12912631244490003,0.0430659671819261,0.2818065831110622,0.058132616178447026,0.013048595838770598
Maximum Sharpe,EEM,0.056840520313472226,5.004993535244569e-18,0.0,0.3000000000000004,0.11521462764183202,0.01639607954047597
Maximum Sharpe,EFA,0.10789908328133578,0.0047247206204711,0.0,0.3000000000002001,0.13117314422846188,0.028926909944506342
Maximum Sharpe,GLD,0.01940702724123101,1.561251128379127e-16,0.0,0.2072069949008394,0.04812744196448174,0.01780720306059032
Maximum Sharpe,IEF,5.976576802626214e-15,0.0,0.0,3.8357994181842435e-13,4.719660987471865e-14,1.2088614357431646e-14
Maximum Sharpe,IWM,0.2773637630857601,0.2999999999999997,0.113651583330683,0.3000000000000004,0.04768267267905384,0.02690131644819615
Maximum Sharpe,LQD,0.0010686414344410133,1.228103541103353e-16,0.0,0.0442002835893006,0.006289875896305889,0.0009549310168633
Maximum Sharpe,QQQ,0.09854134885033149,1.1796119636642284e-15,0.0,0.3000000000000001,0.1218150767887294,0.027237165432706566
Maximum Sharpe,SPY,0.20205780429945117,0.22528295705512896,0.0,0.3000000000000002,0.10163796974466027,0.03372970529450427
Maximum Sharpe,TLT,0.037224782987236915,2.367124623272858e-16,0.0,0.2999999999999992,0.06931709237470017,0.01763367069130205
Maximum Sharpe,VNQ,0.1995970285067342,0.2911359605811348,0.0,0.3000000000000002,0.12632290561700263,0.036239065247579166
