strategy,mean_hhi,median_hhi,max_hhi,mean_effective_holdings,median_effective_holdings,min_effective_holdings,average_largest_position,maximum_largest_position
SPY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Equal Weight,0.10000000000000005,0.10000000000000003,0.10000000000000003,9.999999999999998,9.999999999999996,9.999999999999996,0.09999999999999998,0.1
Minimum Variance,0.22839043158661917,0.23254193141239937,0.2714665582448303,4.4099881859411845,4.300299709072937,3.683694987940724,0.3,0.3000000000000001
Maximum Sharpe,0.26379565868376914,0.26327127888164287,0.28000000000000047,3.8029063940606656,3.7983634380777382,3.5714285714285654,0.2999999999999887,0.3000000000000005
Shrunk Max Sharpe λ=0.25,0.26124628808761796,0.266954998779089,0.2800000000000001,3.849149206574264,3.745949709027631,3.5714285714285703,0.2999999999999985,0.30000000000000077
Shrunk Max Sharpe λ=0.50,0.255374889880046,0.26086759608970445,0.2800000000000001,3.9594707633926567,3.833362268789146,3.5714285714285703,0.2999999999999976,0.30000000000000443
Shrunk Max Sharpe λ=0.75,0.24951986961274356,0.2570649678994999,0.2800000000000001,4.054012622364996,3.890067200408856,3.5714285714285703,0.3,0.30000000000001087
Turnover-Aware Max Sharpe γ=0.05,0.2601188748923639,0.2634600717313652,0.2799999999999999,3.8640832567798173,3.7956415688660456,3.5714285714285725,0.2999999999999984,0.30000000000005256
Turnover-Aware Max Sharpe γ=0.10,0.26246963433151954,0.2635574882385555,0.28,3.823387653202801,3.794238618235971,3.571428571428571,0.29999999999999916,0.3000000000000154
Turnover-Aware Max Sharpe γ=0.25,0.257891512590335,0.26234499180367293,0.2799999999999999,3.9029510207785063,3.811774690741398,3.5714285714285725,0.2999999999999862,0.3000000000000007
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.2513515583193388,0.2588217440236067,0.2799999999999999,4.021201186092849,3.863663015533933,3.5714285714285725,0.29999999999999255,0.30000000000001653
