rebalance_date,strategy,largest_risk_contributor,largest_risk_contribution_pct,top3_risk_contribution_pct
2018-02-01,Maximum Sharpe,TLT,56.30876323955955,101.85190070620267
2018-02-01,Shrunk Max Sharpe λ=0.50,TLT,38.78513460998195,87.10184103112623
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,TLT,56.308763239559056,101.8519007062024
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,TLT,39.794640562699755,84.50156476440786
2022-04-01,Maximum Sharpe,IWM,67.58039418637476,98.09615065318208
2022-04-01,Shrunk Max Sharpe λ=0.50,IWM,47.58183604873195,95.30660271676506
2022-04-01,Turnover-Aware Max Sharpe γ=0.10,IWM,68.09733097197224,94.87592898010827
2022-04-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IWM,44.76163306046173,93.91818872632248
2026-09-01,Maximum Sharpe,IWM,51.79872370089886,95.58912165519618
2026-09-01,Shrunk Max Sharpe λ=0.50,EFA,35.51877915280029,86.60638918713933
2026-09-01,Turnover-Aware Max Sharpe γ=0.10,IWM,53.474631963786464,95.84384535025303
2026-09-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EFA,36.0093917529415,85.6217529708449
