stress_period,start_date,end_date,strategy,cumulative_return,annualized_volatility,max_drawdown,entry_rebalance_date,top_positions_at_entry
COVID_2020,2020-02-20,2020-03-31,SPY,-0.23371273723463737,0.7925695563995016,-0.33443856565949387,2019-11-01,"SPY:1.000, EEM:0.000, EFA:0.000"
COVID_2020,2020-02-20,2020-03-31,Maximum Sharpe,-0.08204923540417841,0.3814115821202816,-0.1774893709903968,2019-11-01,"LQD:0.300, SPY:0.275, TLT:0.184"
COVID_2020,2020-02-20,2020-03-31,Shrunk Max Sharpe λ=0.50,-0.05569650956409966,0.2929892950229467,-0.14320476580994373,2019-11-01,"IEF:0.300, LQD:0.300, SPY:0.273"
COVID_2020,2020-02-20,2020-03-31,Turnover-Aware Max Sharpe γ=0.10,-0.08407741547298253,0.3869600611650489,-0.1794804757290956,2019-11-01,"LQD:0.300, SPY:0.290, TLT:0.189"
COVID_2020,2020-02-20,2020-03-31,Combined Robust Max Sharpe λ=0.50 γ=0.10,-0.05673675717191118,0.2951136134850312,-0.14403753843512193,2019-11-01,"IEF:0.300, LQD:0.300, SPY:0.277"
RATE_HIKE_2022,2022-04-01,2022-10-31,SPY,-0.13765017816844538,0.256122603177711,-0.21284745346895634,2022-04-01,"SPY:1.000, EEM:0.000, EFA:0.000"
RATE_HIKE_2022,2022-04-01,2022-10-31,Maximum Sharpe,-0.16812097796967373,0.1869613673850786,-0.21205812059698526,2022-04-01,"QQQ:0.300, GLD:0.300, TLT:0.269"
RATE_HIKE_2022,2022-04-01,2022-10-31,Shrunk Max Sharpe λ=0.50,-0.14607612276622262,0.14479382819999115,-0.17462167335140466,2022-04-01,"IEF:0.300, GLD:0.256, SPY:0.175"
RATE_HIKE_2022,2022-04-01,2022-10-31,Turnover-Aware Max Sharpe γ=0.10,-0.16808580359623837,0.1764763393800105,-0.20674390144105076,2022-04-01,"QQQ:0.300, GLD:0.300, TLT:0.225"
RATE_HIKE_2022,2022-04-01,2022-10-31,Combined Robust Max Sharpe λ=0.50 γ=0.10,-0.15027570600876783,0.13972485032392537,-0.17619748921004846,2022-04-01,"IEF:0.300, GLD:0.237, SPY:0.177"
