rebalance_date,strategy,cost_bps,turnover,transaction_cost
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.0,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.0,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.0,0.0
2018-02-01,Equal Weight,0.0,0.0,0.0
2018-02-01,Equal Weight,5.0,0.0,0.0
2018-02-01,Equal Weight,10.0,0.0,0.0
2018-02-01,Equal Weight,25.0,0.0,0.0
2018-02-01,Maximum Sharpe,0.0,0.0,0.0
2018-02-01,Maximum Sharpe,5.0,0.0,0.0
2018-02-01,Maximum Sharpe,10.0,0.0,0.0
2018-02-01,Maximum Sharpe,25.0,0.0,0.0
2018-02-01,Minimum Variance,0.0,0.0,0.0
2018-02-01,Minimum Variance,5.0,0.0,0.0
2018-02-01,Minimum Variance,10.0,0.0,0.0
2018-02-01,Minimum Variance,25.0,0.0,0.0
2018-02-01,SPY,0.0,0.0,0.0
2018-02-01,SPY,5.0,0.0,0.0
2018-02-01,SPY,10.0,0.0,0.0
2018-02-01,SPY,25.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,0.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,5.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,10.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,25.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,0.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,5.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,10.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,25.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,0.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,5.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,10.0,0.0,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,25.0,0.0,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.0,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.0,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.0,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.0,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0,0.0
