strategy,mean_monthly_turnover,median_monthly_turnover,p95_turnover,max_turnover,approx_annualized_turnover,pct_reduction_vs_max_sharpe
SPY,0.0,0.0,0.0,0.0,0.0,100.0
Equal Weight,0.0,0.0,0.0,0.0,0.0,100.0
Minimum Variance,0.02409072530588972,0.017777265218387957,0.05756291453175594,0.23270703497322143,0.28908870367067663,76.2352437950752
Maximum Sharpe,0.1013716492530118,0.06752609440032346,0.294816025872798,0.5750558753266459,1.2164597910361417,
Shrunk Max Sharpe λ=0.25,0.09592492597912988,0.07469175471131345,0.2583845203379326,0.600000000000095,1.1510991117495586,5.373024227205312
Shrunk Max Sharpe λ=0.50,0.08666191656255554,0.05491131324305374,0.24243642222543407,0.5725908884038551,1.0399429987506665,14.510696825837853
Shrunk Max Sharpe λ=0.75,0.08198428547582477,0.044591654124965636,0.3113947456182539,0.5427760360207657,0.9838114257098973,19.125035372363758
Turnover-Aware Max Sharpe γ=0.05,0.07363864554434443,0.05152895160330476,0.2063867160180591,0.5831507825362392,0.8836637465321332,27.357751317085736
Turnover-Aware Max Sharpe γ=0.10,0.05343547622996177,0.020453126604020957,0.15469202528039158,0.5895232135471354,0.6412257147595413,47.28755364668769
Turnover-Aware Max Sharpe γ=0.25,0.03213709058021535,0.002354239495266322,0.12564274611271978,0.5087658732440011,0.38564508696258415,68.29775305321814
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.04437866014405478,0.019498120891547663,0.15529521176205704,0.5770525783848413,0.5325439217286574,56.22182289518559
