rebalance_date,strategy,turnover
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0
2018-02-01,Equal Weight,0.0
2018-02-01,Maximum Sharpe,0.0
2018-02-01,Minimum Variance,0.0
2018-02-01,SPY,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,0.0
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.06052373517869784
2018-03-01,Equal Weight,0.0
2018-03-01,Maximum Sharpe,0.0794294892742284
2018-03-01,Minimum Variance,0.03542139788636511
2018-03-01,SPY,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,0.052761425461753136
2018-03-01,Shrunk Max Sharpe λ=0.50,0.1824082046995919
2018-03-01,Shrunk Max Sharpe λ=0.75,0.06859354238672301
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,0.05152895160330476
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,0.027213217567347976
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,0.027081314250217505
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.027010350729730754
2018-05-01,Equal Weight,0.0
2018-05-01,Maximum Sharpe,0.2324349757953837
2018-05-01,Minimum Variance,0.05715954298580286
2018-05-01,SPY,0.0
2018-05-01,Shrunk Max Sharpe λ=0.25,0.07469175471131345
2018-05-01,Shrunk Max Sharpe λ=0.50,0.05491131324305374
2018-05-01,Shrunk Max Sharpe λ=0.75,0.061151103932388144
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,0.12090498332288527
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,0.05742075372646574
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,0.03152650571364696
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.05484481058894809
2018-06-01,Equal Weight,0.0
2018-06-01,Maximum Sharpe,0.21871700143383374
2018-06-01,Minimum Variance,0.023426511162257295
2018-06-01,SPY,0.0
2018-06-01,Shrunk Max Sharpe λ=0.25,0.17862857041636218
2018-06-01,Shrunk Max Sharpe λ=0.50,0.0735297036103312
2018-06-01,Shrunk Max Sharpe λ=0.75,0.03880247231047753
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,0.1833833143674292
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,0.08994831643552137
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,0.034417800730177826
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.053589666310524774
2018-08-01,Equal Weight,0.0
2018-08-01,Maximum Sharpe,0.30940188604359686
2018-08-01,Minimum Variance,0.016090277882317972
2018-08-01,SPY,0.0
2018-08-01,Shrunk Max Sharpe λ=0.25,0.08841964691001444
2018-08-01,Shrunk Max Sharpe λ=0.50,0.18221523409731596
2018-08-01,Shrunk Max Sharpe λ=0.75,0.019861745534323325
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,0.0216925504941145
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,6.440499610266442e-15
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,3.8311174728641065e-15
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.11570443234738997
2018-10-01,Equal Weight,0.0
2018-10-01,Maximum Sharpe,0.12074438783500732
2018-10-01,Minimum Variance,0.05556763659789068
2018-10-01,SPY,0.0
2018-10-01,Shrunk Max Sharpe λ=0.25,0.2176173604372027
2018-10-01,Shrunk Max Sharpe λ=0.50,0.11322494919991828
2018-10-01,Shrunk Max Sharpe λ=0.75,0.044591654124965636
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,0.10226712357487407
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,0.08637011400362614
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,0.021125182530792277
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,2.258158014434127e-14
2018-11-01,Equal Weight,0.0
2018-11-01,Maximum Sharpe,0.07415948310766869
2018-11-01,Minimum Variance,0.02277628545461684
2018-11-01,SPY,0.0
2018-11-01,Shrunk Max Sharpe λ=0.25,0.1340147331120124
2018-11-01,Shrunk Max Sharpe λ=0.50,0.03141383224689011
2018-11-01,Shrunk Max Sharpe λ=0.75,0.018287066083957467
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,0.09511986324544754
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,0.045678792970288595
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,1.096345236817342e-15
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.07931771409895501
2019-02-01,Equal Weight,0.0
2019-02-01,Maximum Sharpe,0.20484025470494482
2019-02-01,Minimum Variance,0.05526332284830261
2019-02-01,SPY,0.0
2019-02-01,Shrunk Max Sharpe λ=0.25,0.27585616029538856
2019-02-01,Shrunk Max Sharpe λ=0.50,0.09196360055471706
2019-02-01,Shrunk Max Sharpe λ=0.75,0.07175296689678096
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,0.19205100638653458
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,0.1202751259190298
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,0.045247151023623366
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.018814848028970876
2019-03-01,Equal Weight,0.0
2019-03-01,Maximum Sharpe,0.1685164072796334
2019-03-01,Minimum Variance,0.008409245360724788
2019-03-01,SPY,0.0
2019-03-01,Shrunk Max Sharpe λ=0.25,0.12318040982484695
2019-03-01,Shrunk Max Sharpe λ=0.50,0.0242628886934831
2019-03-01,Shrunk Max Sharpe λ=0.75,0.009811733127419557
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,0.11084451197778804
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,0.09209070954584511
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,0.04520450337771439
2019-04-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0059259986899791615
2019-04-01,Equal Weight,0.0
2019-04-01,Maximum Sharpe,0.2464850927795489
2019-04-01,Minimum Variance,0.026396897545508134
2019-04-01,SPY,0.0
2019-04-01,Shrunk Max Sharpe λ=0.25,0.14131664522393064
2019-04-01,Shrunk Max Sharpe λ=0.50,0.04463994583964321
2019-04-01,Shrunk Max Sharpe λ=0.75,0.008368979476212757
2019-04-01,Turnover-Aware Max Sharpe γ=0.05,0.13977206920992488
2019-04-01,Turnover-Aware Max Sharpe γ=0.10,0.13750879942945873
2019-04-01,Turnover-Aware Max Sharpe γ=0.25,0.011424098639192075
2019-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.05995581195182595
2019-05-01,Equal Weight,0.0
2019-05-01,Maximum Sharpe,0.03516344701930395
2019-05-01,Minimum Variance,0.004408128307074956
2019-05-01,SPY,0.0
2019-05-01,Shrunk Max Sharpe λ=0.25,0.12807863034165717
2019-05-01,Shrunk Max Sharpe λ=0.50,0.0570426168576369
2019-05-01,Shrunk Max Sharpe λ=0.75,0.028179643292102756
2019-05-01,Turnover-Aware Max Sharpe γ=0.05,0.0841404988415712
2019-05-01,Turnover-Aware Max Sharpe γ=0.10,0.07127147659629743
2019-05-01,Turnover-Aware Max Sharpe γ=0.25,0.10561903917626396
2019-07-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.016411509620760288
2019-07-01,Equal Weight,0.0
2019-07-01,Maximum Sharpe,0.199708758651778
2019-07-01,Minimum Variance,0.007616592203804302
2019-07-01,SPY,0.0
2019-07-01,Shrunk Max Sharpe λ=0.25,0.0914431760955145
2019-07-01,Shrunk Max Sharpe λ=0.50,0.05946411332246946
2019-07-01,Shrunk Max Sharpe λ=0.75,0.028441884933112196
2019-07-01,Turnover-Aware Max Sharpe γ=0.05,0.01691794316248829
2019-07-01,Turnover-Aware Max Sharpe γ=0.10,3.33447122767122e-16
2019-07-01,Turnover-Aware Max Sharpe γ=0.25,0.059740654740435474
2019-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.021938406181163578
2019-08-01,Equal Weight,0.0
2019-08-01,Maximum Sharpe,0.049676308365915356
2019-08-01,Minimum Variance,0.01134052578024347
2019-08-01,SPY,0.0
2019-08-01,Shrunk Max Sharpe λ=0.25,0.03496548477237136
2019-08-01,Shrunk Max Sharpe λ=0.50,0.017796409956836765
2019-08-01,Shrunk Max Sharpe λ=0.75,0.030425809240714228
2019-08-01,Turnover-Aware Max Sharpe γ=0.05,0.09818797041294794
2019-08-01,Turnover-Aware Max Sharpe γ=0.10,0.006855242789236171
2019-08-01,Turnover-Aware Max Sharpe γ=0.25,0.006589031168070418
2019-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.045015885843027126
2019-10-01,Equal Weight,0.0
2019-10-01,Maximum Sharpe,0.2798334882633502
2019-10-01,Minimum Variance,0.05773578805145012
2019-10-01,SPY,0.0
2019-10-01,Shrunk Max Sharpe λ=0.25,0.21184858207503468
2019-10-01,Shrunk Max Sharpe λ=0.50,0.03773830648331792
2019-10-01,Shrunk Max Sharpe λ=0.75,0.01725917666392577
2019-10-01,Turnover-Aware Max Sharpe γ=0.05,0.1902305803507558
2019-10-01,Turnover-Aware Max Sharpe γ=0.10,0.11071827272405015
2019-10-01,Turnover-Aware Max Sharpe γ=0.25,0.05030700865734631
2019-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.012895980117594666
2019-11-01,Equal Weight,0.0
2019-11-01,Maximum Sharpe,0.06752609440032346
2019-11-01,Minimum Variance,0.01897430533617561
2019-11-01,SPY,0.0
2019-11-01,Shrunk Max Sharpe λ=0.25,0.03652048732303942
2019-11-01,Shrunk Max Sharpe λ=0.50,0.027761403014152385
2019-11-01,Shrunk Max Sharpe λ=0.75,0.0573352382423254
2019-11-01,Turnover-Aware Max Sharpe γ=0.05,0.08022886790506695
2019-11-01,Turnover-Aware Max Sharpe γ=0.10,0.06505909315606916
2019-11-01,Turnover-Aware Max Sharpe γ=0.25,0.07205813479261369
2020-04-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.5770525783848413
2020-04-01,Equal Weight,0.0
2020-04-01,Maximum Sharpe,0.5750558753266459
2020-04-01,Minimum Variance,0.23270703497322143
2020-04-01,SPY,0.0
2020-04-01,Shrunk Max Sharpe λ=0.25,0.600000000000095
2020-04-01,Shrunk Max Sharpe λ=0.50,0.5725908884038551
2020-04-01,Shrunk Max Sharpe λ=0.75,0.5427760360207657
2020-04-01,Turnover-Aware Max Sharpe γ=0.05,0.5831507825362392
2020-04-01,Turnover-Aware Max Sharpe γ=0.10,0.5895232135471354
2020-04-01,Turnover-Aware Max Sharpe γ=0.25,0.5087658732440011
2020-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,9.370159924307788e-16
2020-05-01,Equal Weight,0.0
2020-05-01,Maximum Sharpe,0.0023942509307644383
2020-05-01,Minimum Variance,0.029525849013922894
2020-05-01,SPY,0.0
2020-05-01,Shrunk Max Sharpe λ=0.25,0.0016366724349226474
2020-05-01,Shrunk Max Sharpe λ=0.50,0.005698587752983235
2020-05-01,Shrunk Max Sharpe λ=0.75,0.09189505268529137
2020-05-01,Turnover-Aware Max Sharpe γ=0.05,1.1368954234379875e-13
2020-05-01,Turnover-Aware Max Sharpe γ=0.10,2.885384972143662e-13
2020-05-01,Turnover-Aware Max Sharpe γ=0.25,5.629423589993756e-13
2020-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,3.575142321846845e-05
2020-06-01,Equal Weight,0.0
2020-06-01,Maximum Sharpe,0.0013555827892855338
2020-06-01,Minimum Variance,0.009776225595079888
2020-06-01,SPY,0.0
2020-06-01,Shrunk Max Sharpe λ=0.25,0.0030793220243374095
2020-06-01,Shrunk Max Sharpe λ=0.50,0.016368409301091597
2020-06-01,Shrunk Max Sharpe λ=0.75,0.05947695757603855
2020-06-01,Turnover-Aware Max Sharpe γ=0.05,0.0008942397908462935
2020-06-01,Turnover-Aware Max Sharpe γ=0.10,2.321397074698283e-13
2020-06-01,Turnover-Aware Max Sharpe γ=0.25,1.1825262991038699e-13
