strategy,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,cumulative_return,terminal_wealth
SPY,0.14089110081954104,0.19128010495956746,0.6320108452737143,0.5948069084096242,-0.3371727919657733,0.41786023124262944,2.0917914273218674,3.0917914273218674
Equal Weight,0.08579446485009612,0.1250860992639823,0.5259934176318279,0.4951359061513661,-0.2551941684939265,0.33619288934550234,1.02359915384352,2.02359915384352
Minimum Variance,0.05747128903338106,0.08048574509506537,0.46556429326860316,0.4472032277499924,-0.22199575923770498,0.25888462568261444,0.6137038450384045,1.6137038450384045
Maximum Sharpe,0.0970304061679812,0.13158864141469678,0.5853879585641643,0.5536507243677337,-0.2557997382928744,0.3793217569944797,1.2101014956310356,2.2101014956310356
Shrunk Max Sharpe λ=0.25,0.08986398590403821,0.11944471507478148,0.5849064637166913,0.5582398717021585,-0.23885317641654302,0.3762310690284553,1.0894761068715089,2.089476106871509
Shrunk Max Sharpe λ=0.50,0.08859858019996292,0.10822961728822528,0.6338244735475566,0.6108587655627956,-0.22323729784284382,0.3968807231412341,1.0687918688718088,2.0687918688718088
Shrunk Max Sharpe λ=0.75,0.08045050923612451,0.09736862834499567,0.6208417460902992,0.6043055695182737,-0.22214298610054592,0.362156422979347,0.9398810943794922,1.9398810943794922
Turnover-Aware Max Sharpe γ=0.05,0.09766912453212284,0.13196597010535602,0.5885541891603958,0.5582811569231652,-0.254576316153595,0.38365361714636315,1.2211450853128758,2.221145085312876
Turnover-Aware Max Sharpe γ=0.10,0.10150997474911194,0.1311213250904731,0.6216378204908349,0.5903829382216117,-0.2533306654895891,0.40070148851870285,1.2885880378821413,2.2885880378821413
Turnover-Aware Max Sharpe γ=0.25,0.11311148095564882,0.12983768618387945,0.7171375560696758,0.6848035345756245,-0.2475757465495541,0.45687625921389974,1.5034185415863877,2.5034185415863877
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.09677663957021654,0.10882004416035682,0.7055376623177874,0.6849383067949812,-0.2236576181739532,0.4326999471797424,1.2057272918057955,2.2057272918057955
