date,strategy,cost_bps,net_return
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,-0.004037515216652875
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,-0.004037515216652875
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,-0.004037515216652875
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,-0.004037515216652875
2018-02-01,Equal Weight,0.0,-0.005947951790957511
2018-02-01,Equal Weight,5.0,-0.005947951790957511
2018-02-01,Equal Weight,10.0,-0.005947951790957511
2018-02-01,Equal Weight,25.0,-0.005947951790957511
2018-02-01,Maximum Sharpe,0.0,-0.003886755409237969
2018-02-01,Maximum Sharpe,5.0,-0.003886755409237969
2018-02-01,Maximum Sharpe,10.0,-0.003886755409237969
2018-02-01,Maximum Sharpe,25.0,-0.003886755409237969
2018-02-01,Minimum Variance,0.0,-0.002948725744091371
2018-02-01,Minimum Variance,5.0,-0.002948725744091371
2018-02-01,Minimum Variance,10.0,-0.002948725744091371
2018-02-01,Minimum Variance,25.0,-0.002948725744091371
2018-02-01,SPY,0.0,-0.0011348473098273
2018-02-01,SPY,5.0,-0.0011348473098273
2018-02-01,SPY,10.0,-0.0011348473098273
2018-02-01,SPY,25.0,-0.0011348473098273
2018-02-01,Shrunk Max Sharpe λ=0.25,0.0,-0.003988338728234306
2018-02-01,Shrunk Max Sharpe λ=0.25,5.0,-0.003988338728234306
2018-02-01,Shrunk Max Sharpe λ=0.25,10.0,-0.003988338728234306
2018-02-01,Shrunk Max Sharpe λ=0.25,25.0,-0.003988338728234306
2018-02-01,Shrunk Max Sharpe λ=0.50,0.0,-0.004184530240640599
2018-02-01,Shrunk Max Sharpe λ=0.50,5.0,-0.004184530240640599
2018-02-01,Shrunk Max Sharpe λ=0.50,10.0,-0.004184530240640599
2018-02-01,Shrunk Max Sharpe λ=0.50,25.0,-0.004184530240640599
2018-02-01,Shrunk Max Sharpe λ=0.75,0.0,-0.003076231800485685
2018-02-01,Shrunk Max Sharpe λ=0.75,5.0,-0.003076231800485685
2018-02-01,Shrunk Max Sharpe λ=0.75,10.0,-0.003076231800485685
2018-02-01,Shrunk Max Sharpe λ=0.75,25.0,-0.003076231800485685
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,0.0,-0.003886755409237957
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,5.0,-0.003886755409237957
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,10.0,-0.003886755409237957
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,25.0,-0.003886755409237957
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,0.0,-0.003886755409237953
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,5.0,-0.003886755409237953
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,10.0,-0.003886755409237953
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,25.0,-0.003886755409237953
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,0.0,-0.004491059486296951
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,5.0,-0.004491059486296951
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,10.0,-0.004491059486296951
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,25.0,-0.004491059486296951
2018-02-02,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,-0.011217080334951368
2018-02-02,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,-0.011217080334951368
2018-02-02,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,-0.011217080334951368
2018-02-02,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,-0.011217080334951368
2018-02-02,Equal Weight,0.0,-0.01465588667908966
2018-02-02,Equal Weight,5.0,-0.01465588667908966
2018-02-02,Equal Weight,10.0,-0.01465588667908966
2018-02-02,Equal Weight,25.0,-0.01465588667908966
2018-02-02,Maximum Sharpe,0.0,-0.015361408280675684
2018-02-02,Maximum Sharpe,5.0,-0.015361408280675684
2018-02-02,Maximum Sharpe,10.0,-0.015361408280675684
2018-02-02,Maximum Sharpe,25.0,-0.015361408280675684
2018-02-02,Minimum Variance,0.0,-0.01030370078879156
2018-02-02,Minimum Variance,5.0,-0.01030370078879156
2018-02-02,Minimum Variance,10.0,-0.01030370078879156
2018-02-02,Minimum Variance,25.0,-0.01030370078879156
2018-02-02,SPY,0.0,-0.0217700473244185
2018-02-02,SPY,5.0,-0.0217700473244185
2018-02-02,SPY,10.0,-0.0217700473244185
2018-02-02,SPY,25.0,-0.0217700473244185
2018-02-02,Shrunk Max Sharpe λ=0.25,0.0,-0.014447962873260809
2018-02-02,Shrunk Max Sharpe λ=0.25,5.0,-0.014447962873260809
2018-02-02,Shrunk Max Sharpe λ=0.25,10.0,-0.014447962873260809
2018-02-02,Shrunk Max Sharpe λ=0.25,25.0,-0.014447962873260809
2018-02-02,Shrunk Max Sharpe λ=0.50,0.0,-0.010972640177757138
2018-02-02,Shrunk Max Sharpe λ=0.50,5.0,-0.010972640177757138
2018-02-02,Shrunk Max Sharpe λ=0.50,10.0,-0.010972640177757138
2018-02-02,Shrunk Max Sharpe λ=0.50,25.0,-0.010972640177757138
2018-02-02,Shrunk Max Sharpe λ=0.75,0.0,-0.010600142633787692
2018-02-02,Shrunk Max Sharpe λ=0.75,5.0,-0.010600142633787692
2018-02-02,Shrunk Max Sharpe λ=0.75,10.0,-0.010600142633787692
2018-02-02,Shrunk Max Sharpe λ=0.75,25.0,-0.010600142633787692
2018-02-02,Turnover-Aware Max Sharpe γ=0.05,0.0,-0.01536140828067568
2018-02-02,Turnover-Aware Max Sharpe γ=0.05,5.0,-0.01536140828067568
2018-02-02,Turnover-Aware Max Sharpe γ=0.05,10.0,-0.01536140828067568
2018-02-02,Turnover-Aware Max Sharpe γ=0.05,25.0,-0.01536140828067568
2018-02-02,Turnover-Aware Max Sharpe γ=0.10,0.0,-0.01536140828067572
2018-02-02,Turnover-Aware Max Sharpe γ=0.10,5.0,-0.01536140828067572
2018-02-02,Turnover-Aware Max Sharpe γ=0.10,10.0,-0.01536140828067572
2018-02-02,Turnover-Aware Max Sharpe γ=0.10,25.0,-0.01536140828067572
2018-02-02,Turnover-Aware Max Sharpe γ=0.25,0.0,-0.01590646559308316
2018-02-02,Turnover-Aware Max Sharpe γ=0.25,5.0,-0.01590646559308316
2018-02-02,Turnover-Aware Max Sharpe γ=0.25,10.0,-0.01590646559308316
2018-02-02,Turnover-Aware Max Sharpe γ=0.25,25.0,-0.01590646559308316
2018-02-05,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,-0.012647480368791198
2018-02-05,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,-0.012647480368791198
2018-02-05,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,-0.012647480368791198
2018-02-05,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,-0.012647480368791198
2018-02-05,Equal Weight,0.0,-0.02055577056309068
2018-02-05,Equal Weight,5.0,-0.02055577056309068
2018-02-05,Equal Weight,10.0,-0.02055577056309068
2018-02-05,Equal Weight,25.0,-0.02055577056309068
2018-02-05,Maximum Sharpe,0.0,-0.023944627413156495
2018-02-05,Maximum Sharpe,5.0,-0.023944627413156495
2018-02-05,Maximum Sharpe,10.0,-0.023944627413156495
2018-02-05,Maximum Sharpe,25.0,-0.023944627413156495
2018-02-05,Minimum Variance,0.0,-0.00881137932967275
2018-02-05,Minimum Variance,5.0,-0.00881137932967275
2018-02-05,Minimum Variance,10.0,-0.00881137932967275
2018-02-05,Minimum Variance,25.0,-0.00881137932967275
2018-02-05,SPY,0.0,-0.0418224450918517
2018-02-05,SPY,5.0,-0.0418224450918517
2018-02-05,SPY,10.0,-0.0418224450918517
2018-02-05,SPY,25.0,-0.0418224450918517
2018-02-05,Shrunk Max Sharpe λ=0.25,0.0,-0.021087669342266416
2018-02-05,Shrunk Max Sharpe λ=0.25,5.0,-0.021087669342266416
2018-02-05,Shrunk Max Sharpe λ=0.25,10.0,-0.021087669342266416
2018-02-05,Shrunk Max Sharpe λ=0.25,25.0,-0.021087669342266416
2018-02-05,Shrunk Max Sharpe λ=0.50,0.0,-0.012385330557125394
2018-02-05,Shrunk Max Sharpe λ=0.50,5.0,-0.012385330557125394
2018-02-05,Shrunk Max Sharpe λ=0.50,10.0,-0.012385330557125394
2018-02-05,Shrunk Max Sharpe λ=0.50,25.0,-0.012385330557125394
