strategy,mean_hhi,median_hhi,max_hhi,mean_effective_holdings,median_effective_holdings,min_effective_holdings,average_largest_position,maximum_largest_position
SPY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Equal Weight,0.10000000000000005,0.10000000000000003,0.10000000000000003,9.999999999999998,9.999999999999996,9.999999999999996,0.09999999999999998,0.1
Minimum Variance,0.2283904315503413,0.23254193119004996,0.27146655643486667,4.409988186543804,4.300299713184751,3.6836950125012224,0.3,0.3000000000000001
Maximum Sharpe,0.26379565668342075,0.26327127593926647,0.2800000000000008,3.802906429241642,3.7983634805290647,3.571428571428561,0.2999999999999954,0.30000000000000104
Shrunk Max Sharpe λ=0.25,0.26124628747771667,0.26695499876436,0.2800000000000001,3.8491492170169073,3.74594970923431,3.5714285714285703,0.2999999999999993,0.3000000000000016
Shrunk Max Sharpe λ=0.50,0.25537488989098334,0.26086759747815136,0.2799999999999999,3.959470761526817,3.8333622483863823,3.5714285714285725,0.29999999999999777,0.30000000000001154
Shrunk Max Sharpe λ=0.75,0.24951986974924123,0.2570649690389436,0.28000000000000036,4.054012620482614,3.8900671831660842,3.5714285714285667,0.2999999999999999,0.3000000000000076
Turnover-Aware Max Sharpe γ=0.05,0.2601188760228232,0.26346007199670085,0.2800000000000007,3.864083231607882,3.795641565043383,3.5714285714285627,0.29999999999999893,0.3000000000000576
Turnover-Aware Max Sharpe γ=0.10,0.2624696348389453,0.26355750844349624,0.2800000000000011,3.8233876452614166,3.794238327360682,3.571428571428558,0.299999999999999,0.30000000000004945
Turnover-Aware Max Sharpe γ=0.25,0.2578915115351892,0.2623449918686067,0.2799999999999999,3.9029510383133705,3.8117746897979345,3.5714285714285725,0.2999999999999691,0.3000000000000031
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.25135155827196015,0.25882174434589533,0.2799999999999998,4.021201190748115,3.8636630107228433,3.571428571428574,0.2999999999999955,0.30000000000000904
