stress_period,start_date,end_date,strategy,cumulative_return,annualized_volatility,max_drawdown,entry_rebalance_date,top_positions_at_entry
COVID_2020,2020-02-20,2020-03-31,SPY,-0.23371273723463737,0.7925695563995016,-0.33443856565949387,2019-11-01,"SPY:1.000, EEM:0.000, EFA:0.000"
COVID_2020,2020-02-20,2020-03-31,Maximum Sharpe,-0.08204923491651317,0.3814115817236177,-0.17748937066968637,2019-11-01,"LQD:0.300, SPY:0.275, TLT:0.184"
COVID_2020,2020-02-20,2020-03-31,Shrunk Max Sharpe λ=0.50,-0.05569650944753057,0.2929892948723478,-0.14320476572490798,2019-11-01,"IEF:0.300, LQD:0.300, SPY:0.273"
COVID_2020,2020-02-20,2020-03-31,Turnover-Aware Max Sharpe γ=0.10,-0.08407741808583313,0.3869600650052837,-0.17948047840395073,2019-11-01,"LQD:0.300, SPY:0.290, TLT:0.189"
COVID_2020,2020-02-20,2020-03-31,Combined Robust Max Sharpe λ=0.50 γ=0.10,-0.05673675790476118,0.2951136142948499,-0.14403753895541177,2019-11-01,"IEF:0.300, LQD:0.300, SPY:0.277"
RATE_HIKE_2022,2022-04-01,2022-10-31,SPY,-0.13765017816844538,0.256122603177711,-0.21284745346895634,2022-04-01,"SPY:1.000, EEM:0.000, EFA:0.000"
RATE_HIKE_2022,2022-04-01,2022-10-31,Maximum Sharpe,-0.168120968719094,0.18696136088712922,-0.21205811129584407,2022-04-01,"QQQ:0.300, GLD:0.300, TLT:0.269"
RATE_HIKE_2022,2022-04-01,2022-10-31,Shrunk Max Sharpe λ=0.50,-0.1460761218060309,0.14479382753481793,-0.1746216719925454,2022-04-01,"IEF:0.300, GLD:0.256, SPY:0.175"
RATE_HIKE_2022,2022-04-01,2022-10-31,Turnover-Aware Max Sharpe γ=0.10,-0.1680858024008406,0.176476339976545,-0.20674390040436,2022-04-01,"QQQ:0.300, GLD:0.300, TLT:0.225"
RATE_HIKE_2022,2022-04-01,2022-10-31,Combined Robust Max Sharpe λ=0.50 γ=0.10,-0.15027570752486363,0.1397248507370905,-0.17619749042314403,2022-04-01,"IEF:0.300, GLD:0.237, SPY:0.177"
