strategy,cost_bps,terminal_wealth,cagr,sharpe,total_estimated_transaction_cost_drag,gross_terminal_wealth
SPY,0.0,3.0917914273218674,0.14089110081954104,0.6320108452737143,0.0,3.0917914273218674
SPY,5.0,3.0917914273218674,0.14089110081954104,0.6320108452737143,0.0,3.0917914273218674
SPY,10.0,3.0917914273218674,0.14089110081954104,0.6320108452737143,0.0,3.0917914273218674
SPY,25.0,3.0917914273218674,0.14089110081954104,0.6320108452737143,0.0,3.0917914273218674
Equal Weight,0.0,2.02359915384352,0.08579446485009612,0.5259934176318279,0.0,2.02359915384352
Equal Weight,5.0,2.02359915384352,0.08579446485009612,0.5259934176318279,0.0,2.02359915384352
Equal Weight,10.0,2.02359915384352,0.08579446485009612,0.5259934176318279,0.0,2.02359915384352
Equal Weight,25.0,2.02359915384352,0.08579446485009612,0.5259934176318279,0.0,2.02359915384352
Minimum Variance,0.0,1.6137038434096023,0.05747128890873987,0.4655642915255461,0.0,1.6137038434096023
Minimum Variance,5.0,1.6124013760057423,0.05737158422386157,0.46432065154040686,0.0008070392854226043,1.6137038434096023
Minimum Variance,10.0,1.6110999189193358,0.05727188580224829,0.46307690737806106,0.0016140785708452087,1.6137038434096023
Minimum Variance,25.0,1.6072016020134836,0.056972828112372254,0.4593450666328296,0.004035196427113022,1.6137038434096023
Maximum Sharpe,0.0,2.2101015612944286,0.09703040997406953,0.5853879908297653,0.0,2.2101015612944286
Maximum Sharpe,5.0,2.202612983215553,0.09659569395368339,0.582086675231867,0.0033959507080592154,2.2101015612944286
Maximum Sharpe,10.0,2.1951489402885755,0.09616110128978539,0.5787848021339895,0.006791901416118431,2.2101015612944286
Maximum Sharpe,25.0,2.1729032465515488,0.09485806318573453,0.5688760873631559,0.016979753540296075,2.2101015612944286
Shrunk Max Sharpe λ=0.25,0.0,2.08947612112574,0.08986398677225416,0.5849064723772439,0.0,2.08947612112574
Shrunk Max Sharpe λ=0.25,5.0,2.0827772759728584,0.0894553855984066,0.5814915610832929,0.0032134850778464813,2.08947612112574
Shrunk Max Sharpe λ=0.25,10.0,2.0760992350005134,0.08904689643298291,0.5780760104108608,0.006426970155692963,2.08947612112574
Shrunk Max Sharpe λ=0.25,25.0,2.056189312121092,0.08782210074782393,0.5678257869579209,0.016067425389232406,2.08947612112574
Shrunk Max Sharpe λ=0.50,0.0,2.068791862920159,0.08859857983425234,0.633824470995753,0.0,2.068791862920159
Shrunk Max Sharpe λ=0.50,5.0,2.062797673645577,0.08822978326543951,0.6304204534290629,0.002903174212837329,2.068791862920159
Shrunk Max Sharpe λ=0.50,10.0,2.05682028269544,0.08786107646731756,0.6270155232317947,0.005806348425674658,2.068791862920159
Shrunk Max Sharpe λ=0.50,25.0,2.0389884449172957,0.08675549452266496,0.6167955327733686,0.014515871064186647,2.068791862920159
Shrunk Max Sharpe λ=0.75,0.0,1.9398810914109696,0.08045050904305251,0.6208417429717196,0.0,1.9398810914109696
Shrunk Max Sharpe λ=0.75,5.0,1.9345675193377634,0.08010449687847498,0.6173092090920573,0.0027464735638755614,1.9398810914109696
Shrunk Max Sharpe λ=0.75,10.0,1.929267938340945,0.07975855869905413,0.6137750083111977,0.005492947127751123,1.9398810914109696
Shrunk Max Sharpe λ=0.75,25.0,1.9134527880486167,0.07872118795078209,0.6031627776357625,0.013732367819377807,1.9398810914109696
Turnover-Aware Max Sharpe γ=0.05,0.0,2.221145054825539,0.09766912277272888,0.5885541708437837,0.0,2.221145054825539
Turnover-Aware Max Sharpe γ=0.05,5.0,2.215674581341119,0.09735308326351855,0.586159400227176,0.002466894682143729,2.221145054825539
Turnover-Aware Max Sharpe γ=0.05,10.0,2.21021706082511,0.09703710459101389,0.5837641814505169,0.004933789364287458,2.221145054825539
Turnover-Aware Max Sharpe γ=0.05,25.0,2.1939219223614392,0.09608953349568661,0.576575947338903,0.012334473410718647,2.221145054825539
Turnover-Aware Max Sharpe γ=0.10,0.0,2.288588013649219,0.10150997338711631,0.6216378105924666,0.0,2.288588013649219
Turnover-Aware Max Sharpe γ=0.10,5.0,2.2844938777635155,0.10127968315481106,0.6198766657934116,0.0017900885417053262,2.288588013649219
Turnover-Aware Max Sharpe γ=0.10,10.0,2.280406671942047,0.1010494188495954,0.6181150299265873,0.0035801770834106524,2.288588013649219
Turnover-Aware Max Sharpe γ=0.10,25.0,2.2681865236118326,0.10035878145253774,0.6128272371735761,0.008950442708526631,2.288588013649219
Turnover-Aware Max Sharpe γ=0.25,0.0,2.503418583682849,0.11311148314139574,0.717137571813128,0.0,2.503418583682849
Turnover-Aware Max Sharpe γ=0.25,5.0,2.5007230458551875,0.11297145790275898,0.7160531592031346,0.0010765925304992354,2.503418583682849
Turnover-Aware Max Sharpe γ=0.25,10.0,2.498030156985639,0.1128314370943635,0.7149683019289689,0.0021531850609984708,2.503418583682849
Turnover-Aware Max Sharpe γ=0.25,25.0,2.489967360135119,0.11241140122943971,0.7117110848403458,0.005382962652496177,2.503418583682849
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,2.20572729865931,0.09677663996816666,0.7055376640150487,0.0,2.20572729865931
Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,2.2024474976740898,0.09658607269465747,0.7037730840469557,0.0014866850781007103,2.20572729865931
Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,2.1991722660389814,0.09639552062813395,0.7020077550572464,0.0029733701562014206,2.20572729865931
Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,2.1893739272543242,0.09582395563511126,0.696707346819217,0.007433425390503551,2.20572729865931
