strategy,mean_monthly_turnover,median_monthly_turnover,p95_turnover,max_turnover,approx_annualized_turnover,pct_reduction_vs_max_sharpe
SPY,0.0,0.0,0.0,0.0,0.0,100.00000000000001
Equal Weight,0.0,0.0,0.0,0.0,0.0,100.00000000000001
Minimum Variance,0.024090724937988188,0.01777725451428399,0.05756291806780292,0.23270703023708622,0.28908869925585823,76.23524736365133
Maximum Sharpe,0.10137166292714077,0.06752609033553322,0.29481602590131567,0.5750558744597043,1.2164599551256892,
Shrunk Max Sharpe λ=0.25,0.09592492769690988,0.0746917573590504,0.2583845704518581,0.6000000000000227,1.1510991323629187,5.37303529699975
Shrunk Max Sharpe λ=0.50,0.0866619168011143,0.05491135018927171,0.2424364243425225,0.5725908882478883,1.0399430016133717,14.510708122247983
Shrunk Max Sharpe λ=0.75,0.08198428548882272,0.04459165464791908,0.3113947491938516,0.5427760335525625,0.9838114258658727,19.125046268849715
Turnover-Aware Max Sharpe γ=0.05,0.07363864722817104,0.0515289524276661,0.2063867005195125,0.5831507745067529,0.8836637667380525,27.357759454831456
Turnover-Aware Max Sharpe γ=0.10,0.05343547885687541,0.02045312477152637,0.15469201879157152,0.5895232528929685,0.641225746282505,47.287558165755556
Turnover-Aware Max Sharpe γ=0.25,0.03213709046266374,0.002354326827727446,0.12564272108812274,0.5087658658151164,0.38564508555196486,68.29775744552819
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0443786590477824,0.01949815218506227,0.15529521391786963,0.5770525787695734,0.5325439085733887,56.221829881908086
