strategy,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,cumulative_return,terminal_wealth
SPY,0.14089110081954104,0.19128010495956746,0.6320108452737143,0.5948069084096242,-0.3371727919657733,0.41786023124262944,2.0917914273218674,3.0917914273218674
Equal Weight,0.08579446485009612,0.1250860992639823,0.5259934176318279,0.4951359061513661,-0.2551941684939265,0.33619288934550234,1.02359915384352,2.02359915384352
Minimum Variance,0.05747128890873987,0.08048574512868062,0.4655642915255461,0.44720322614213465,-0.22199575918622233,0.2588846251811944,0.6137038434096023,1.6137038434096023
Maximum Sharpe,0.09703040997406953,0.13158864066357398,0.5853879908297653,0.5536507566480442,-0.2557997296251342,0.37932178472692013,1.2101015612944286,2.2101015612944286
Shrunk Max Sharpe λ=0.25,0.08986398677225416,0.1194447147905629,0.5849064723772439,0.5582398806922173,-0.2388531755233254,0.37623107407034834,1.08947612112574,2.08947612112574
Shrunk Max Sharpe λ=0.50,0.08859857983425234,0.1082296171469719,0.633824470995753,0.6108587631526753,-0.2232372975831256,0.39688072196475765,1.068791862920159,2.068791862920159
Shrunk Max Sharpe λ=0.75,0.08045050904305251,0.09736862852310839,0.6208417429717196,0.6043055661778161,-0.22214298656664058,0.36215642135034587,0.9398810914109696,1.9398810914109696
Turnover-Aware Max Sharpe γ=0.05,0.09766912277272888,0.13196597122296855,0.5885541708437837,0.5582811380773415,-0.2545763234576816,0.38365359922783426,1.2211450548255391,2.221145054825539
Turnover-Aware Max Sharpe γ=0.10,0.10150997338711631,0.1311213249873448,0.6216378105924666,0.5903829278354664,-0.25333066398371495,0.4007014855242386,1.288588013649219,2.288588013649219
Turnover-Aware Max Sharpe γ=0.25,0.11311148314139574,0.12983768638140572,0.717137571813128,0.6848035499099888,-0.24757574663511686,0.45687626788460095,1.503418583682849,2.503418583682849
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.09677663996816666,0.10882004446261434,0.7055376640150487,0.6849383088892955,-0.22365761946708493,0.43269994645726345,1.2057272986593102,2.20572729865931
