strategy,cost_bps,net_cagr,net_sharpe,net_cumulative_return,terminal_wealth,total_estimated_transaction_cost_drag,gross_terminal_wealth
SPY,5.0,0.14089110081954104,0.6320108452737143,2.0917914273218674,3.0917914273218674,0.0,3.0917914273218674
SPY,10.0,0.14089110081954104,0.6320108452737143,2.0917914273218674,3.0917914273218674,0.0,3.0917914273218674
SPY,25.0,0.14089110081954104,0.6320108452737143,2.0917914273218674,3.0917914273218674,0.0,3.0917914273218674
Equal Weight,5.0,0.08579446485009612,0.5259934176318279,1.02359915384352,2.02359915384352,0.0,2.02359915384352
Equal Weight,10.0,0.08579446485009612,0.5259934176318279,1.02359915384352,2.02359915384352,0.0,2.02359915384352
Equal Weight,25.0,0.08579446485009612,0.5259934176318279,1.02359915384352,2.02359915384352,0.0,2.02359915384352
Minimum Variance,5.0,0.05737158422386157,0.46432065154040686,0.6124013760057423,1.6124013760057423,0.0008070392854226043,1.6137038434096023
Minimum Variance,10.0,0.05727188580224829,0.46307690737806106,0.6110999189193358,1.6110999189193358,0.0016140785708452087,1.6137038434096023
Minimum Variance,25.0,0.056972828112372254,0.4593450666328296,0.6072016020134836,1.6072016020134836,0.004035196427113022,1.6137038434096023
Maximum Sharpe,5.0,0.09659569395368339,0.582086675231867,1.2026129832155532,2.202612983215553,0.0033959507080592154,2.2101015612944286
Maximum Sharpe,10.0,0.09616110128978539,0.5787848021339895,1.1951489402885755,2.1951489402885755,0.006791901416118431,2.2101015612944286
Maximum Sharpe,25.0,0.09485806318573453,0.5688760873631559,1.1729032465515488,2.1729032465515488,0.016979753540296075,2.2101015612944286
Shrunk Max Sharpe λ=0.25,5.0,0.0894553855984066,0.5814915610832929,1.0827772759728584,2.0827772759728584,0.0032134850778464813,2.08947612112574
Shrunk Max Sharpe λ=0.25,10.0,0.08904689643298291,0.5780760104108608,1.0760992350005134,2.0760992350005134,0.006426970155692963,2.08947612112574
Shrunk Max Sharpe λ=0.25,25.0,0.08782210074782393,0.5678257869579209,1.056189312121092,2.056189312121092,0.016067425389232406,2.08947612112574
Shrunk Max Sharpe λ=0.50,5.0,0.08822978326543951,0.6304204534290629,1.0627976736455769,2.062797673645577,0.002903174212837329,2.068791862920159
Shrunk Max Sharpe λ=0.50,10.0,0.08786107646731756,0.6270155232317947,1.05682028269544,2.05682028269544,0.005806348425674658,2.068791862920159
Shrunk Max Sharpe λ=0.50,25.0,0.08675549452266496,0.6167955327733686,1.0389884449172957,2.0389884449172957,0.014515871064186647,2.068791862920159
Shrunk Max Sharpe λ=0.75,5.0,0.08010449687847498,0.6173092090920573,0.9345675193377634,1.9345675193377634,0.0027464735638755614,1.9398810914109696
Shrunk Max Sharpe λ=0.75,10.0,0.07975855869905413,0.6137750083111977,0.929267938340945,1.929267938340945,0.005492947127751123,1.9398810914109696
Shrunk Max Sharpe λ=0.75,25.0,0.07872118795078209,0.6031627776357625,0.9134527880486167,1.9134527880486167,0.013732367819377807,1.9398810914109696
Turnover-Aware Max Sharpe γ=0.05,5.0,0.09735308326351855,0.586159400227176,1.2156745813411192,2.215674581341119,0.002466894682143729,2.221145054825539
Turnover-Aware Max Sharpe γ=0.05,10.0,0.09703710459101389,0.5837641814505169,1.21021706082511,2.21021706082511,0.004933789364287458,2.221145054825539
Turnover-Aware Max Sharpe γ=0.05,25.0,0.09608953349568661,0.576575947338903,1.1939219223614392,2.1939219223614392,0.012334473410718647,2.221145054825539
Turnover-Aware Max Sharpe γ=0.10,5.0,0.10127968315481106,0.6198766657934116,1.2844938777635155,2.2844938777635155,0.0017900885417053262,2.288588013649219
Turnover-Aware Max Sharpe γ=0.10,10.0,0.1010494188495954,0.6181150299265873,1.280406671942047,2.280406671942047,0.0035801770834106524,2.288588013649219
Turnover-Aware Max Sharpe γ=0.10,25.0,0.10035878145253774,0.6128272371735761,1.2681865236118326,2.2681865236118326,0.008950442708526631,2.288588013649219
Turnover-Aware Max Sharpe γ=0.25,5.0,0.11297145790275898,0.7160531592031346,1.5007230458551875,2.5007230458551875,0.0010765925304992354,2.503418583682849
Turnover-Aware Max Sharpe γ=0.25,10.0,0.1128314370943635,0.7149683019289689,1.4980301569856391,2.498030156985639,0.0021531850609984708,2.503418583682849
Turnover-Aware Max Sharpe γ=0.25,25.0,0.11241140122943971,0.7117110848403458,1.489967360135119,2.489967360135119,0.005382962652496177,2.503418583682849
Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.09658607269465747,0.7037730840469557,1.2024474976740898,2.2024474976740898,0.0014866850781007103,2.20572729865931
Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.09639552062813395,0.7020077550572464,1.1991722660389814,2.1991722660389814,0.0029733701562014206,2.20572729865931
Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.09582395563511126,0.696707346819217,1.1893739272543242,2.1893739272543242,0.007433425390503551,2.20572729865931
