date,strategy,cost_bps,net_return
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,-0.004037515152738811
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,-0.004037515152738811
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,-0.004037515152738811
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,-0.004037515152738811
2018-02-01,Equal Weight,0.0,-0.005947951790957511
2018-02-01,Equal Weight,5.0,-0.005947951790957511
2018-02-01,Equal Weight,10.0,-0.005947951790957511
2018-02-01,Equal Weight,25.0,-0.005947951790957511
2018-02-01,Maximum Sharpe,0.0,-0.0038867554092379807
2018-02-01,Maximum Sharpe,5.0,-0.0038867554092379807
2018-02-01,Maximum Sharpe,10.0,-0.0038867554092379807
2018-02-01,Maximum Sharpe,25.0,-0.0038867554092379807
2018-02-01,Minimum Variance,0.0,-0.0029487257200828997
2018-02-01,Minimum Variance,5.0,-0.0029487257200828997
2018-02-01,Minimum Variance,10.0,-0.0029487257200828997
2018-02-01,Minimum Variance,25.0,-0.0029487257200828997
2018-02-01,SPY,0.0,-0.0011348473098273
2018-02-01,SPY,5.0,-0.0011348473098273
2018-02-01,SPY,10.0,-0.0011348473098273
2018-02-01,SPY,25.0,-0.0011348473098273
2018-02-01,Shrunk Max Sharpe λ=0.25,0.0,-0.003988338956159157
2018-02-01,Shrunk Max Sharpe λ=0.25,5.0,-0.003988338956159157
2018-02-01,Shrunk Max Sharpe λ=0.25,10.0,-0.003988338956159157
2018-02-01,Shrunk Max Sharpe λ=0.25,25.0,-0.003988338956159157
2018-02-01,Shrunk Max Sharpe λ=0.50,0.0,-0.004184530098313746
2018-02-01,Shrunk Max Sharpe λ=0.50,5.0,-0.004184530098313746
2018-02-01,Shrunk Max Sharpe λ=0.50,10.0,-0.004184530098313746
2018-02-01,Shrunk Max Sharpe λ=0.50,25.0,-0.004184530098313746
2018-02-01,Shrunk Max Sharpe λ=0.75,0.0,-0.0030762317912423967
2018-02-01,Shrunk Max Sharpe λ=0.75,5.0,-0.0030762317912423967
2018-02-01,Shrunk Max Sharpe λ=0.75,10.0,-0.0030762317912423967
2018-02-01,Shrunk Max Sharpe λ=0.75,25.0,-0.0030762317912423967
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,0.0,-0.0038867554092379755
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,5.0,-0.0038867554092379755
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,10.0,-0.0038867554092379755
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,25.0,-0.0038867554092379755
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,0.0,-0.003886755409237981
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,5.0,-0.003886755409237981
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,10.0,-0.003886755409237981
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,25.0,-0.003886755409237981
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,0.0,-0.004491059566267992
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,5.0,-0.004491059566267992
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,10.0,-0.004491059566267992
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,25.0,-0.004491059566267992
2018-02-02,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,-0.011217080341781996
2018-02-02,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,-0.011217080341781996
2018-02-02,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,-0.011217080341781996
2018-02-02,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,-0.011217080341781996
2018-02-02,Equal Weight,0.0,-0.01465588667908966
2018-02-02,Equal Weight,5.0,-0.01465588667908966
2018-02-02,Equal Weight,10.0,-0.01465588667908966
2018-02-02,Equal Weight,25.0,-0.01465588667908966
2018-02-02,Maximum Sharpe,0.0,-0.015361408280675682
2018-02-02,Maximum Sharpe,5.0,-0.015361408280675682
2018-02-02,Maximum Sharpe,10.0,-0.015361408280675682
2018-02-02,Maximum Sharpe,25.0,-0.015361408280675682
2018-02-02,Minimum Variance,0.0,-0.010303700776682514
2018-02-02,Minimum Variance,5.0,-0.010303700776682514
2018-02-02,Minimum Variance,10.0,-0.010303700776682514
2018-02-02,Minimum Variance,25.0,-0.010303700776682514
2018-02-02,SPY,0.0,-0.0217700473244185
2018-02-02,SPY,5.0,-0.0217700473244185
2018-02-02,SPY,10.0,-0.0217700473244185
2018-02-02,SPY,25.0,-0.0217700473244185
2018-02-02,Shrunk Max Sharpe λ=0.25,0.0,-0.0144479623069564
2018-02-02,Shrunk Max Sharpe λ=0.25,5.0,-0.0144479623069564
2018-02-02,Shrunk Max Sharpe λ=0.25,10.0,-0.0144479623069564
2018-02-02,Shrunk Max Sharpe λ=0.25,25.0,-0.0144479623069564
2018-02-02,Shrunk Max Sharpe λ=0.50,0.0,-0.01097264036708
2018-02-02,Shrunk Max Sharpe λ=0.50,5.0,-0.01097264036708
2018-02-02,Shrunk Max Sharpe λ=0.50,10.0,-0.01097264036708
2018-02-02,Shrunk Max Sharpe λ=0.50,25.0,-0.01097264036708
