date,strategy,asset,weight
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EEM,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EFA,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,GLD,0.07346689308072946
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IEF,0.25575452938728466
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IWM,7.188060906364111e-14
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,LQD,0.2999999999998308
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,QQQ,0.1648165683281672
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,SPY,0.20596200920391597
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,TLT,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,VNQ,0.0
2018-02-01,Equal Weight,EEM,0.1
2018-02-01,Equal Weight,EFA,0.1
2018-02-01,Equal Weight,GLD,0.1
2018-02-01,Equal Weight,IEF,0.1
2018-02-01,Equal Weight,IWM,0.1
2018-02-01,Equal Weight,LQD,0.1
2018-02-01,Equal Weight,QQQ,0.1
2018-02-01,Equal Weight,SPY,0.1
2018-02-01,Equal Weight,TLT,0.1
2018-02-01,Equal Weight,VNQ,0.1
2018-02-01,Maximum Sharpe,EEM,0.0
2018-02-01,Maximum Sharpe,EFA,0.0
2018-02-01,Maximum Sharpe,GLD,0.09999999999999738
2018-02-01,Maximum Sharpe,IEF,3.1232135880734207e-16
2018-02-01,Maximum Sharpe,IWM,3.3719121562784033e-17
2018-02-01,Maximum Sharpe,LQD,0.30000000000000077
2018-02-01,Maximum Sharpe,QQQ,0.30000000000000077
2018-02-01,Maximum Sharpe,SPY,0.30000000000000077
2018-02-01,Maximum Sharpe,TLT,0.0
2018-02-01,Maximum Sharpe,VNQ,0.0
2018-02-01,Minimum Variance,EEM,0.0
2018-02-01,Minimum Variance,EFA,4.082694562485254e-17
2018-02-01,Minimum Variance,GLD,0.10947089780373141
2018-02-01,Minimum Variance,IEF,0.29999999999999993
2018-02-01,Minimum Variance,IWM,0.0005672238452241581
2018-02-01,Minimum Variance,LQD,0.3
2018-02-01,Minimum Variance,QQQ,0.0
2018-02-01,Minimum Variance,SPY,0.2818082240597662
2018-02-01,Minimum Variance,TLT,0.00815365429127839
2018-02-01,Minimum Variance,VNQ,0.0
2018-02-01,SPY,EEM,0.0
2018-02-01,SPY,EFA,0.0
2018-02-01,SPY,GLD,0.0
2018-02-01,SPY,IEF,0.0
2018-02-01,SPY,IWM,0.0
2018-02-01,SPY,LQD,0.0
2018-02-01,SPY,QQQ,0.0
2018-02-01,SPY,SPY,1.0
2018-02-01,SPY,TLT,0.0
2018-02-01,SPY,VNQ,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,EEM,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,EFA,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,GLD,0.11603456012008041
2018-02-01,Shrunk Max Sharpe λ=0.25,IEF,0.042881186618977524
2018-02-01,Shrunk Max Sharpe λ=0.25,IWM,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,LQD,0.2999999999999986
2018-02-01,Shrunk Max Sharpe λ=0.25,QQQ,0.29999999999999893
2018-02-01,Shrunk Max Sharpe λ=0.25,SPY,0.2410842532609446
2018-02-01,Shrunk Max Sharpe λ=0.25,TLT,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,VNQ,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,EEM,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,EFA,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,GLD,0.052339285291707095
2018-02-01,Shrunk Max Sharpe λ=0.50,IEF,0.28000691734457456
2018-02-01,Shrunk Max Sharpe λ=0.50,IWM,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,LQD,0.29999999999999005
2018-02-01,Shrunk Max Sharpe λ=0.50,QQQ,0.1588346827152811
2018-02-01,Shrunk Max Sharpe λ=0.50,SPY,0.20881911464844718
2018-02-01,Shrunk Max Sharpe λ=0.50,TLT,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,VNQ,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,EEM,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,EFA,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,GLD,0.08370867029029691
2018-02-01,Shrunk Max Sharpe λ=0.75,IEF,0.30000000000000077
2018-02-01,Shrunk Max Sharpe λ=0.75,IWM,1.561219262027444e-16
2018-02-01,Shrunk Max Sharpe λ=0.75,LQD,0.30000000000000077
2018-02-01,Shrunk Max Sharpe λ=0.75,QQQ,0.016291329709700608
2018-02-01,Shrunk Max Sharpe λ=0.75,SPY,0.30000000000000077
2018-02-01,Shrunk Max Sharpe λ=0.75,TLT,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,VNQ,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,EEM,5.605457409406951e-16
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,EFA,2.0239926444056216e-16
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,GLD,0.10000000000000006
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,IEF,0.0
