rebalance_date,cap_redistribution_required,uncapped_l1_to_capped,average_abs_weight_difference,max_abs_weight_difference,capped_assets,uncapped_top3,final_top3
2018-02-01,False,0.0,0.0,0.0,,"LQD:0.210, IEF:0.199, SPY:0.088","LQD:0.210, IEF:0.199, SPY:0.088"
2018-03-01,False,2.220446049250313e-16,2.2204460492503132e-17,5.551115123125783e-17,,"LQD:0.213, IEF:0.203, TLT:0.085","LQD:0.213, IEF:0.203, TLT:0.085"
2018-05-01,False,1.5959455978986625e-16,1.5959455978986624e-17,2.7755575615628914e-17,,"LQD:0.218, IEF:0.206, TLT:0.087","LQD:0.218, IEF:0.206, TLT:0.087"
2018-06-01,False,0.0,0.0,0.0,,"LQD:0.220, IEF:0.206, TLT:0.088","LQD:0.220, IEF:0.206, TLT:0.088"
2018-08-01,False,0.0,0.0,0.0,,"LQD:0.222, IEF:0.211, TLT:0.090","LQD:0.222, IEF:0.211, TLT:0.090"
2018-10-01,False,1.5959455978986625e-16,1.5959455978986624e-17,2.7755575615628914e-17,,"LQD:0.218, IEF:0.209, TLT:0.090","LQD:0.218, IEF:0.209, TLT:0.090"
2018-11-01,False,2.220446049250313e-16,2.2204460492503132e-17,5.551115123125783e-17,,"LQD:0.220, IEF:0.212, TLT:0.090","LQD:0.220, IEF:0.212, TLT:0.090"
2019-02-01,False,0.0,0.0,0.0,,"LQD:0.224, IEF:0.214, TLT:0.092","LQD:0.224, IEF:0.214, TLT:0.092"
2019-03-01,False,0.0,0.0,0.0,,"LQD:0.222, IEF:0.212, TLT:0.092","LQD:0.222, IEF:0.212, TLT:0.092"
2019-04-01,False,0.0,0.0,0.0,,"LQD:0.222, IEF:0.212, TLT:0.092","LQD:0.222, IEF:0.212, TLT:0.092"
2019-05-01,False,0.0,0.0,0.0,,"LQD:0.221, IEF:0.211, TLT:0.092","LQD:0.221, IEF:0.211, TLT:0.092"
