strategy,model,alpha_daily,alpha_annualized,hac_se,hac_tstat,raw_pvalue,bh_qvalue,bh_significant,ci_low,ci_high,interpretation_label
SPY,CAPM,1.4136137671289165e-05,0.0035623066931648696,2.3447756436447708e-05,0.6028780497444797,0.5465898193190923,0.9369582845530154,False,-3.182062046241558e-05,6.009289580499391e-05,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
SPY,FF3,-2.0552220593340765e-06,-0.0005179159589521873,1.5943326237173262e-05,-0.1289079849938808,0.8974304582790253,0.9605023796039455,False,-3.330356727796617e-05,2.9193123159298017e-05,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
SPY,FF5,-5.970719651771723e-06,-0.0015046213522464742,1.4545945078775923e-05,-0.4104731331952873,0.6814589080589979,0.970929056201839,False,-3.448024812727017e-05,2.2538808823726724e-05,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
SPY,FF5_MOM,-3.2541782046828723e-06,-0.0008200529075800838,1.4382995571837334e-05,-0.2262517699063139,0.8210056077851928,0.9610000643085737,False,-3.1444331515283127e-05,2.4935975105917382e-05,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Equal Weight,CAPM,-2.500552483780462e-05,-0.006301392259126765,7.541941051490782e-05,-0.3315529074953707,0.7402268841886768,0.9369582845530154,False,-0.00017282485318226542,0.00012281380350665617,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Equal Weight,FF3,-7.021358680098117e-06,-0.0017693823873847255,7.384650839344537e-05,-0.09508044229646116,0.9242509324757974,0.9605023796039455,False,-0.00015175785551528584,0.00013771513815508961,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Equal Weight,FF5,-7.2610155918619085e-06,-0.001829775929149201,7.37749155490469e-05,-0.09842119828703368,0.9215978425992004,0.970929056201839,False,-0.00015185719303047787,0.00013733516184675403,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Equal Weight,FF5_MOM,-6.221428562258101e-06,-0.0015677999976890413,7.402569726175956e-05,-0.08404417374494609,0.9330213104131212,0.9610000643085737,False,-0.00015130912912577214,0.00013886627200125593,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Minimum Variance,CAPM,1.8469020713912474e-05,0.004654193219905943,9.32442942077853e-05,0.19807132297828503,0.842989261260279,0.9369582845530154,False,-0.00016428643769720347,0.00020122447912502843,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Minimum Variance,FF3,2.5643148027642967e-05,0.006462073302966028,9.248091283761045e-05,0.27728043810154007,0.7815647790333908,0.9605023796039455,False,-0.00015561611039146146,0.00020690240644674737,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Minimum Variance,FF5,2.4045371079063908e-05,0.006059433511924105,9.255692886759809e-05,0.2597900705355145,0.795025710620956,0.970929056201839,False,-0.000157362876021064,0.00020545361817919178,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Minimum Variance,FF5_MOM,2.2642985332064968e-05,0.005706032303680372,9.280644857937542e-05,0.2439807327903394,0.8072457420828477,0.9610000643085737,False,-0.00015925431141657932,0.00020454028208070923,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Maximum Sharpe,CAPM,2.525629167615999e-05,0.006364585502392318,9.916134045326013e-05,0.2546989740226897,0.7989556087296733,0.9369582845530154,False,-0.00016909636427094458,0.00021960894762326454,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Maximum Sharpe,FF3,2.7023302146379604e-05,0.00680987214088766,9.146433370955454e-05,0.29545180126924925,0.767648766711521,0.9605023796039455,False,-0.0001522434977943001,0.0002062901020870593,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Maximum Sharpe,FF5,2.9677435090582937e-05,0.0074787136428269,9.094045083404145e-05,0.32633921229114776,0.7441677235589323,0.970929056201839,False,-0.00014856257328197385,0.0002079174434631397,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Maximum Sharpe,FF5_MOM,2.3324055841666237e-05,0.005877662072099892,9.116782851576125e-05,0.2558364745699075,0.7980771082766394,0.9610000643085737,False,-0.00015536160459794952,0.00020200971628128202,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Combined Robust Max Sharpe λ=0.50 γ=0.10,CAPM,8.702497915305628e-05,0.021930294746570184,9.75224379311996e-05,0.8923585279364212,0.3722007925799523,0.9369582845530154,False,-0.00010411548687663779,0.00027816544518275034,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF3,9.032040503246494e-05,0.022760742068181166,9.190450062392662e-05,0.9827636777229898,0.32572376234755684,0.9605023796039455,False,-8.980910620757016e-05,0.0002704499162725,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5,8.946064484032971e-05,0.022544082499763085,9.144488165278286e-05,0.9783012807650917,0.32792533665801493,0.970929056201839,False,-8.976802976965226e-05,0.0002686893194503117,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,8.352260498429993e-05,0.021047696456043583,9.172978008788483e-05,0.9105287825205539,0.36254370962508653,0.9610000643085737,False,-9.626446029773375e-05,0.00026330967026633363,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Inverse Volatility,CAPM,-1.148136748084484e-05,-0.0028933046051729,8.2825801906141e-05,-0.13862066187847644,0.8897499151276533,0.9369582845530154,False,-0.00017381695620753015,0.00015085422124584049,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Inverse Volatility,FF3,4.054392385731448e-06,0.0010217068812043248,8.186860975149965e-05,0.049523161539422385,0.9605023796039455,0.9605023796039455,False,-0.00015640513419157254,0.00016451391896303542,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Inverse Volatility,FF5,2.979381899581494e-06,0.0007508042386945365,8.175437118080673e-05,0.03644308991127016,0.9709290562018391,0.970929056201839,False,-0.00015725624119351903,0.00016321500499268202,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
Inverse Volatility,FF5_MOM,4.007133130006221e-06,0.0010097975487615679,8.194772427473691e-05,0.04889865051739518,0.9610000643085737,0.9610000643085737,False,-0.00015660745506349685,0.0001646217213235093,estimated factor-adjusted intercept; factor-model misspecification and omitted multi-asset exposure remain possible
