strategy,model,factor,coefficient,hac_se,hac_tstat,hac_pvalue,hac_ci_low,hac_ci_high
SPY,CAPM,MKT_RF,0.9631949954721004,0.006085734816826322,158.27094417735432,0.0,0.9512671744116593,0.9751228165325415
SPY,FF3,MKT_RF,0.9801109334072519,0.006452752427682769,151.89036684601533,0.0,0.9674637710478402,0.9927580957666635
SPY,FF3,SMB,-0.11742367597320655,0.0044965098624296295,-26.11440418586299,2.501702595892026e-150,-0.12623667335969777,-0.10861067858671532
SPY,FF3,HML,0.045153164400254193,0.004107487269307054,10.992892111354413,4.134611254588227e-28,0.0371026372854556,0.05320369151505279
SPY,FF5,MKT_RF,0.9860227444436336,0.006811834267057832,144.75142902581462,0.0,0.9726717946115444,0.9993736942757228
SPY,FF5,SMB,-0.09885049881318124,0.004877304006443861,-20.26744666368564,2.4925821381921907e-91,-0.10840983900746412,-0.08929115861889836
SPY,FF5,HML,0.018136328650055426,0.005754949470210099,3.1514314320110466,0.0016247230545197674,0.006856834955595768,0.029415822344515084
SPY,FF5,RMW,0.05063751904421219,0.005672764556636338,8.926427060148901,4.399894186638393e-19,0.03951910482042964,0.061755933267994736
SPY,FF5,CMA,0.04092131621927537,0.009156348373244843,4.469174233130843,7.852215053432212e-06,0.022975203177813562,0.058867429260737174
SPY,FF5_MOM,MKT_RF,0.9854958770008875,0.00645312463219178,152.71607681102037,0.0,0.9728479851340434,0.9981437688677316
SPY,FF5_MOM,SMB,-0.1043119567385533,0.004519561538009404,-23.08010541759245,7.335877510000983e-118,-0.11317013457896419,-0.09545377889814241
SPY,FF5_MOM,HML,0.013612638289222382,0.005986559842592801,2.2738665689720556,0.022974010283127375,0.0018791966064467171,0.025346079971998045
SPY,FF5_MOM,RMW,0.046947692776650014,0.005748013942615278,8.167637247464533,3.14487870263205e-16,0.03568179246648999,0.05821359308681004
SPY,FF5_MOM,CMA,0.04757714516210797,0.009654404014277668,4.9280250848987945,8.306495462892594e-07,0.028654861001924818,0.06649942932229111
SPY,FF5_MOM,MOM,-0.012360644984090488,0.003859092350010733,-3.2029927928664654,0.0013600738472740572,-0.019924327003125564,-0.0047969629650554116
Equal Weight,CAPM,MKT_RF,0.5709133983565065,0.009358424453428816,61.00529006753167,0.0,0.552571223475747,0.5892555732372659
Equal Weight,FF3,MKT_RF,0.5525836378090232,0.009695465701445957,56.99402739639544,0.0,0.5335808742208458,0.5715864013972006
Equal Weight,FF3,SMB,0.13177391251144,0.012885006186040517,10.226918839527023,1.5022295040401848e-24,0.10651976444622478,0.15702806057665522
Equal Weight,FF3,HML,-0.043327480101825425,0.010496559416442524,-4.1277792448785,3.662834943350815e-05,-0.06390035851963755,-0.02275460168401331
Equal Weight,FF5,MKT_RF,0.5548433967531281,0.009805118167799276,56.58711983454461,0.0,0.5356257182800822,0.574061075226174
Equal Weight,FF5,SMB,0.12230308885518187,0.013434893712658684,9.103390876843703,8.755464393468068e-20,0.09597118104224724,0.1486349966681165
Equal Weight,FF5,HML,-0.04703473748265853,0.014740671056629396,-3.190813857928494,0.001418726528366203,-0.07592592186160413,-0.01814355310371293
Equal Weight,FF5,RMW,-0.040880653213254195,0.017182126366989226,-2.379254600978563,0.017347689445049892,-0.07455700207036912,-0.0072043043561392656
Equal Weight,FF5,CMA,0.05102427232737837,0.02405947743413877,2.120755634325556,0.033942371999904575,0.003868563069612231,0.09817998158514452
Equal Weight,FF5_MOM,MKT_RF,0.5546417710571893,0.009861928052578626,56.2407034506975,0.0,0.53531274725601,0.5739707948583685
Equal Weight,FF5_MOM,SMB,0.12021305602015925,0.014215987074426496,8.456187768798243,2.76260631419299e-17,0.09235023334959638,0.1480758786907221
Equal Weight,FF5_MOM,HML,-0.04876589819447034,0.016853272293263957,-2.893556654511626,0.003809055668688888,-0.08179770491091445,-0.015734091478026214
Equal Weight,FF5_MOM,RMW,-0.04229270438349352,0.017034753416475448,-2.482730647723343,0.013037963168406132,-0.07568020756530604,-0.008905201201681007
Equal Weight,FF5_MOM,CMA,0.053571376273778795,0.02566659828917665,2.087202038626572,0.036869875288873616,0.003265768021335193,0.1038769845262224
Equal Weight,FF5_MOM,MOM,-0.004730266941871319,0.010553649719856567,-0.44821147825016194,0.6540005796204418,-0.025415040298241418,0.015954506414498783
Minimum Variance,CAPM,MKT_RF,0.22362027547118157,0.012750850200588968,17.537675680704996,7.388828383594844e-69,0.19862906830576188,0.24861148263660127
