strategy,model,n_obs,sample_start,sample_end,r_squared,adjusted_r_squared,rmse,residual_std,condition_number,rank
SPY,CAPM,2113,2018-02-01,2026-06-30,0.9895908894123825,0.989585958521531,0.0012378543656965996,0.04023502758178767,79.80383023145882,2
SPY,FF3,2113,2018-02-01,2026-06-30,0.9940905668167935,0.9940821607951958,0.0009326864226435466,0.021436575483180505,156.76416198952427,4
SPY,FF5,2113,2018-02-01,2026-06-30,0.9947896930741176,0.9947773287956982,0.0008757787334889345,0.01643495496463014,254.1143709576115,6
SPY,FF5_MOM,2113,2018-02-01,2026-06-30,0.9949103070846051,0.9948958065349887,0.0008655826275932242,0.015038664129545671,259.4547829393575,7
Equal Weight,CAPM,2113,2018-02-01,2026-06-30,0.8183858319406858,0.8182997996488529,0.003370097108554431,0.10954111717308873,79.80383023145882,2
Equal Weight,FF3,2113,2018-02-01,2026-06-30,0.8313996283157901,0.8311597984840913,0.003247108617006931,0.0746305374246423,156.76416198952427,4
Equal Weight,FF5,2113,2018-02-01,2026-06-30,0.8327670736853667,0.8323702228872779,0.0032339138549682214,0.06068796436076929,254.1143709576115,6
Equal Weight,FF5_MOM,2113,2018-02-01,2026-06-30,0.8328086529850288,0.8323323243610545,0.0032335118042619575,0.05617915197585176,259.4547829393575,7
Minimum Variance,CAPM,2113,2018-02-01,2026-06-30,0.3038445540369742,0.3035147788375602,0.004241455651682533,0.13786362100548108,79.80383023145882,2
Minimum Variance,FF3,2113,2018-02-01,2026-06-30,0.3230404705000469,0.3220775124210996,0.004182569546558549,0.09613088131413754,156.76416198952427,4
Minimum Variance,FF5,2113,2018-02-01,2026-06-30,0.32567474713682376,0.32407454482817843,0.004174423723661373,0.078337670553318,254.1143709576115,6
Minimum Variance,FF5_MOM,2113,2018-02-01,2026-06-30,0.325857852857258,0.3239372199594154,0.004173856925402223,0.07251674239400314,259.4547829393575,7
Maximum Sharpe,CAPM,2113,2018-02-01,2026-06-30,0.6527556180321499,0.6525911251937,0.004884420695425352,0.15876245772328795,79.80383023145882,2
Maximum Sharpe,FF3,2113,2018-02-01,2026-06-30,0.7063469872054261,0.7059292731047226,0.004491720033908229,0.10323630023827066,156.76416198952427,4
Maximum Sharpe,FF5,2113,2018-02-01,2026-06-30,0.7086958032363008,0.7080045260726471,0.004473720209045762,0.08395429958331108,254.1143709576115,6
Maximum Sharpe,FF5_MOM,2113,2018-02-01,2026-06-30,0.7101093469156297,0.709283447619093,0.004462852722121317,0.07753776590251955,259.4547829393575,7
Combined Robust Max Sharpe λ=0.50 γ=0.10,CAPM,2113,2018-02-01,2026-06-30,0.5201421309231797,0.5199148178634561,0.004769808263478486,0.15503711289404978,79.80383023145882,2
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF3,2113,2018-02-01,2026-06-30,0.57333762731586,0.5727307107117574,0.004497661670125152,0.10337286096239565,156.76416198952427,4
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5,2113,2018-02-01,2026-06-30,0.57691305700741,0.5759090538204319,0.004478776825980863,0.08404919258359053,254.1143709576115,6
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,2113,2018-02-01,2026-06-30,0.5787023751448004,0.5775020970113098,0.004469295975937442,0.07764971122923137,259.4547829393575,7
Inverse Volatility,CAPM,2113,2018-02-01,2026-06-30,0.6429057408206671,0.6427365820053288,0.003726253433122212,0.12111756747251363,79.80383023145882,2
Inverse Volatility,FF3,2113,2018-02-01,2026-06-30,0.6605424253485379,0.6600595553988203,0.0036330695089433394,0.08350134286651854,156.76416198952427,4
Inverse Volatility,FF5,2113,2018-02-01,2026-06-30,0.6632255436874748,0.662426363677241,0.003618682889013132,0.06790858014475858,254.1143709576115,6
Inverse Volatility,FF5_MOM,2113,2018-02-01,2026-06-30,0.6632909025778911,0.6623316174000504,0.003618331727322738,0.06286502734902097,259.4547829393575,7
Equal Risk Contribution,CAPM,2113,2018-02-01,2026-06-30,0.5224115194236916,0.5221852813940486,0.004053342364275002,0.13174921569489884,79.80383023145882,2
Equal Risk Contribution,FF3,2113,2018-02-01,2026-06-30,0.5460828021932774,0.5454371162789009,0.003951615543147021,0.09082270612569483,156.76416198952427,4
Equal Risk Contribution,FF5,2113,2018-02-01,2026-06-30,0.5504731558301355,0.5494064096408382,0.003932458806678111,0.07379693170961711,254.1143709576115,6
Equal Risk Contribution,FF5_MOM,2113,2018-02-01,2026-06-30,0.5504800740036133,0.549199390453766,0.0039324285464864845,0.06832215693663336,259.4547829393575,7
