strategy,model,ljung_box_stat,ljung_box_pvalue,breusch_pagan_stat,breusch_pagan_pvalue,jarque_bera_stat,jarque_bera_pvalue,vif_max,vif_mean
SPY,CAPM,34.629636980741985,1.7836709956486617e-06,2.17528911338216,0.14024315833429832,9418.18939741858,0.0,,
SPY,FF3,102.6980678349381,1.4262110076643734e-20,4.295312278819741,0.23129087843827692,34722.10816272303,0.0,,
SPY,FF5,138.6888944887138,3.39883828848654e-28,5.200212586204701,0.39193799422886155,43759.10713039065,0.0,,
SPY,FF5_MOM,132.50832753728287,6.984907651849244e-27,17.358300111228942,0.008052830337643185,39424.309108060756,0.0,2.008390972345904,1.492211380183557
Equal Weight,CAPM,6.587293990406539,0.2531866593758933,13.431001215755344,0.000247499986545697,1137.2143397318644,1.1403646772737288e-247,,
Equal Weight,FF3,4.636932314740649,0.4617739503238594,23.61382040686146,3.0074021336511575e-05,832.0282401108492,2.1250211951133995e-181,,
Equal Weight,FF5,5.111738922295553,0.4023963018740821,37.6682162185991,4.398868327063467e-07,881.8155860656261,3.2823013978497694e-192,,
Equal Weight,FF5_MOM,5.178340602970946,0.3945054325134367,44.69114717593442,5.3903369654396034e-08,892.2299533773764,1.7977418546939857e-194,2.008390972345904,1.492211380183557
Minimum Variance,CAPM,11.101745275511718,0.0493995786610354,13.06631603553937,0.00030065388412399343,2003.0789437705366,0.0,,
Minimum Variance,FF3,11.171983230469987,0.04807469865253963,26.46903994708476,7.606682189202427e-06,1923.5317884362325,0.0,,
Minimum Variance,FF5,11.601158127000838,0.040680971000315834,31.610642612831917,7.0947331922267975e-06,2129.565374614208,0.0,,
Minimum Variance,FF5_MOM,11.658418349323437,0.03978016632447758,38.29492699047643,9.836522874336432e-07,2079.1357345812203,0.0,2.008390972345904,1.492211380183557
Maximum Sharpe,CAPM,26.0461008891273,8.741750031243645e-05,1.4109815608643048,0.2348935168962107,3837.1483073431305,0.0,,
Maximum Sharpe,FF3,17.05480871436156,0.00439701519069686,23.08321222058496,3.8801913318021916e-05,3468.1854001808815,0.0,,
Maximum Sharpe,FF5,18.945647716926178,0.0019674596968927553,37.47686496346995,4.805585003323869e-07,3618.018412702482,0.0,,
Maximum Sharpe,FF5_MOM,19.1951336709383,0.0017677096612304314,48.81188961590709,8.131035764395731e-09,3520.1540947410385,0.0,2.008390972345904,1.492211380183557
Combined Robust Max Sharpe λ=0.50 γ=0.10,CAPM,16.076196938277402,0.00662986203963476,0.012512320936814425,0.9109356131640661,2227.561880283177,0.0,,
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF3,12.529840039246428,0.028206493851046774,10.15803827346638,0.017269434802636645,1924.8236979519481,0.0,,
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5,13.859004888679179,0.0165302808149911,20.827738947955147,0.0008730588257976855,2106.461134436228,0.0,,
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,13.497974613712955,0.019133338126130682,39.6463189648777,5.34533486411348e-07,2152.1996684351725,0.0,2.008390972345904,1.492211380183557
Inverse Volatility,CAPM,5.2909263483804,0.38141622623732024,11.515767210152324,0.0006900834420380876,1830.9177821902495,0.0,,
Inverse Volatility,FF3,6.250131697195105,0.2826352737373567,23.88918090456692,2.63466910845004e-05,1308.7212329240506,6.528224721232772e-285,,
Inverse Volatility,FF5,7.346978938011829,0.19608728604861367,31.249342883888403,8.363016119339236e-06,1522.8724227348423,0.0,,
Inverse Volatility,FF5_MOM,7.427673567215422,0.19072643181787105,37.784097405567806,1.2379773431584783e-06,1547.8105009892238,0.0,2.008390972345904,1.492211380183557
Equal Risk Contribution,CAPM,5.421781376383713,0.3665990842293153,11.425692275998323,0.0007243543113087578,928.4717534547966,2.4261655725736633e-202,,
Equal Risk Contribution,FF3,6.17332885038036,0.28971681690852025,21.62303072359346,7.813829028940996e-05,719.4182599607616,6.029895132851921e-157,,
Equal Risk Contribution,FF5,7.301559804155199,0.19916148128231223,26.450037276182407,7.29755945040821e-05,857.8424279140374,5.270885804994327e-187,,
Equal Risk Contribution,FF5_MOM,7.288573840230754,0.2000480317436064,36.77776387079787,1.945536160864075e-06,853.3259908174379,5.042146519663337e-186,2.008390972345904,1.492211380183557
