strategy,model,window,window_start,window_end,n_obs,alpha_daily,alpha_annualized,alpha_hac_se,alpha_hac_tstat,alpha_hac_pvalue,r_squared,adjusted_r_squared,residual_std,condition_number,beta_MKT_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
SPY,FF5_MOM,252,2018-02-01,2019-02-01,252,-2.595003352004135e-05,-0.00653940844705042,2.7259733813478777e-05,-0.9519547658682627,0.3411199229819285,0.9965314569922001,0.996446513081805,0.0039187141236619325,384.5351426101542,0.9896438450272232,-0.1362433430655461,-0.004574231597366486,0.024322560866004678,0.062012190941082554,-0.010581187444983847
SPY,FF5_MOM,252,2018-02-02,2019-02-04,252,-1.9537512616044908e-05,-0.004923453179243317,2.6488921003997847e-05,-0.7375729880841958,0.4607739749269181,0.9965800951908192,0.9964963424199822,0.0038941851754588338,384.86997187825466,0.989675079739665,-0.13588802990624538,-0.0035162626278803055,0.022732198350283783,0.06092967253751201,-0.010804329657914072
SPY,FF5_MOM,252,2018-02-05,2019-02-05,252,-1.7731024674461066e-05,-0.004468218217964189,2.6494903224908323e-05,-0.6692239833430235,0.5033526094230929,0.9965413874693256,0.9964566867542887,0.0038871007472883502,387.9816713625948,0.9889457463228786,-0.13587245217585545,-0.003118980681990205,0.023548666513718203,0.05911181109519134,-0.010550992558542763
SPY,FF5_MOM,252,2018-02-06,2019-02-06,252,-1.1055312831718099e-05,-0.002785938833592961,2.7066145269587e-05,-0.4084553866686163,0.6829393776429601,0.9963691251514057,0.9962802057673585,0.0038662785727441905,388.6887265389689,0.9865482477860785,-0.13555958905429757,-0.004626458716583175,0.022855131951886015,0.05650388802482198,-0.011189070525106828
SPY,FF5_MOM,252,2018-02-07,2019-02-07,252,-2.5657768431269518e-05,-0.006465757644679919,2.6391827580139883e-05,-0.9721861191067059,0.33095796486678963,0.996561212473102,0.9964769972683617,0.0037439424246787307,388.6763271008103,0.9848674334497229,-0.1349081909101858,-0.006596789997675612,0.01949169586423563,0.054431799753232535,-0.014632844996832761
SPY,FF5_MOM,252,2018-02-08,2019-02-08,252,-1.9765833116571158e-05,-0.004980989945375932,2.6024392279044368e-05,-0.7595118035661954,0.44754645589193054,0.9966028346429728,0.9965196387566783,0.003719254988579274,388.1963061094815,0.985015065727692,-0.1333536413799779,-0.006164905206152815,0.0209135348249464,0.05580036782829817,-0.013486022052387747
SPY,FF5_MOM,252,2018-02-09,2019-02-11,252,-1.6802872581116906e-05,-0.00423432389044146,2.6409568213818676e-05,-0.6362418516303074,0.524618798704906,0.9964384956431174,0.9963512751282549,0.003711704524660831,392.01345102812763,0.9839977643233351,-0.13270940627848765,-0.005745008476782727,0.02131777366102111,0.0536906046630532,-0.013925837844314844
SPY,FF5_MOM,252,2018-02-12,2019-02-12,252,-2.335199076850046e-05,-0.005884701673662116,2.6093964271617814e-05,-0.8949192436007213,0.37083025899917055,0.9964639965466463,0.996377400543707,0.0036943683382359323,393.61009097037453,0.9833308271668162,-0.1321567065031959,-0.007356445445293149,0.0202615079154031,0.05571403616664417,-0.014241388970166156
SPY,FF5_MOM,252,2018-02-13,2019-02-13,252,-2.5345336736682506e-05,-0.006387024857643991,2.6250664643716912e-05,-0.9655121910503285,0.33428833281040504,0.9964605625437518,0.9963738824427825,0.003682565628371251,393.4570572263411,0.9830310644027709,-0.13151974514135756,-0.007339345497612379,0.02076978232657245,0.05556947299723039,-0.014547574186043188
SPY,FF5_MOM,252,2018-02-14,2019-02-14,252,-2.2108657287080624e-05,-0.005571381636344318,2.6116211069483684e-05,-0.8465491884814098,0.39724644580757584,0.9964632439838643,0.9963766295508161,0.003681251748600044,393.4471475143069,0.9830622457059779,-0.13097875119570188,-0.007372744650138843,0.02176098552654626,0.055726524340368365,-0.014058019626722304
