strategy,model,sample_start,sample_end,n_obs,alpha_daily,alpha_annualized,alpha_hac_se,alpha_hac_tstat,alpha_raw_pvalue,alpha_bh_qvalue,alpha_bh_significant,r_squared,adjusted_r_squared,rmse,residual_std,condition_number
SPY,CAPM,2018-02-01,2026-06-30,2113,1.4136137671289165e-05,0.0035623066931648696,2.3447756436447708e-05,0.6028780497444797,0.5465898193190923,0.9369582845530154,False,0.9895908894123825,0.989585958521531,0.0012378543656965996,0.04023502758178767,79.80383023145882
SPY,FF3,2018-02-01,2026-06-30,2113,-2.0552220593340765e-06,-0.0005179159589521873,1.5943326237173262e-05,-0.1289079849938808,0.8974304582790253,0.9605023796039455,False,0.9940905668167935,0.9940821607951958,0.0009326864226435466,0.021436575483180505,156.76416198952427
SPY,FF5,2018-02-01,2026-06-30,2113,-5.970719651771723e-06,-0.0015046213522464742,1.4545945078775923e-05,-0.4104731331952873,0.6814589080589979,0.970929056201839,False,0.9947896930741176,0.9947773287956982,0.0008757787334889345,0.01643495496463014,254.1143709576115
SPY,FF5_MOM,2018-02-01,2026-06-30,2113,-3.2541782046828723e-06,-0.0008200529075800838,1.4382995571837334e-05,-0.2262517699063139,0.8210056077851928,0.9610000643085737,False,0.9949103070846051,0.9948958065349887,0.0008655826275932242,0.015038664129545671,259.4547829393575
Equal Weight,CAPM,2018-02-01,2026-06-30,2113,-2.500552483780462e-05,-0.006301392259126765,7.541941051490782e-05,-0.3315529074953707,0.7402268841886768,0.9369582845530154,False,0.8183858319406858,0.8182997996488529,0.003370097108554431,0.10954111717308873,79.80383023145882
Equal Weight,FF3,2018-02-01,2026-06-30,2113,-7.021358680098117e-06,-0.0017693823873847255,7.384650839344537e-05,-0.09508044229646116,0.9242509324757974,0.9605023796039455,False,0.8313996283157901,0.8311597984840913,0.003247108617006931,0.0746305374246423,156.76416198952427
Equal Weight,FF5,2018-02-01,2026-06-30,2113,-7.2610155918619085e-06,-0.001829775929149201,7.37749155490469e-05,-0.09842119828703368,0.9215978425992004,0.970929056201839,False,0.8327670736853667,0.8323702228872779,0.0032339138549682214,0.06068796436076929,254.1143709576115
Equal Weight,FF5_MOM,2018-02-01,2026-06-30,2113,-6.221428562258101e-06,-0.0015677999976890413,7.402569726175956e-05,-0.08404417374494609,0.9330213104131212,0.9610000643085737,False,0.8328086529850288,0.8323323243610545,0.0032335118042619575,0.05617915197585176,259.4547829393575
Minimum Variance,CAPM,2018-02-01,2026-06-30,2113,1.8469020713912474e-05,0.004654193219905943,9.32442942077853e-05,0.19807132297828503,0.842989261260279,0.9369582845530154,False,0.3038445540369742,0.3035147788375602,0.004241455651682533,0.13786362100548108,79.80383023145882
Minimum Variance,FF3,2018-02-01,2026-06-30,2113,2.5643148027642967e-05,0.006462073302966028,9.248091283761045e-05,0.27728043810154007,0.7815647790333908,0.9605023796039455,False,0.3230404705000469,0.3220775124210996,0.004182569546558549,0.09613088131413754,156.76416198952427
Minimum Variance,FF5,2018-02-01,2026-06-30,2113,2.4045371079063908e-05,0.006059433511924105,9.255692886759809e-05,0.2597900705355145,0.795025710620956,0.970929056201839,False,0.32567474713682376,0.32407454482817843,0.004174423723661373,0.078337670553318,254.1143709576115
Minimum Variance,FF5_MOM,2018-02-01,2026-06-30,2113,2.2642985332064968e-05,0.005706032303680372,9.280644857937542e-05,0.2439807327903394,0.8072457420828477,0.9610000643085737,False,0.325857852857258,0.3239372199594154,0.004173856925402223,0.07251674239400314,259.4547829393575
Maximum Sharpe,CAPM,2018-02-01,2026-06-30,2113,2.525629167615999e-05,0.006364585502392318,9.916134045326013e-05,0.2546989740226897,0.7989556087296733,0.9369582845530154,False,0.6527556180321499,0.6525911251937,0.004884420695425352,0.15876245772328795,79.80383023145882
Maximum Sharpe,FF3,2018-02-01,2026-06-30,2113,2.7023302146379604e-05,0.00680987214088766,9.146433370955454e-05,0.29545180126924925,0.767648766711521,0.9605023796039455,False,0.7063469872054261,0.7059292731047226,0.004491720033908229,0.10323630023827066,156.76416198952427
Maximum Sharpe,FF5,2018-02-01,2026-06-30,2113,2.9677435090582937e-05,0.0074787136428269,9.094045083404145e-05,0.32633921229114776,0.7441677235589323,0.970929056201839,False,0.7086958032363008,0.7080045260726471,0.004473720209045762,0.08395429958331108,254.1143709576115
Maximum Sharpe,FF5_MOM,2018-02-01,2026-06-30,2113,2.3324055841666237e-05,0.005877662072099892,9.116782851576125e-05,0.2558364745699075,0.7980771082766394,0.9610000643085737,False,0.7101093469156297,0.709283447619093,0.004462852722121317,0.07753776590251955,259.4547829393575
Combined Robust Max Sharpe λ=0.50 γ=0.10,CAPM,2018-02-01,2026-06-30,2113,8.702497915305628e-05,0.021930294746570184,9.75224379311996e-05,0.8923585279364212,0.3722007925799523,0.9369582845530154,False,0.5201421309231797,0.5199148178634561,0.004769808263478486,0.15503711289404978,79.80383023145882
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF3,2018-02-01,2026-06-30,2113,9.032040503246494e-05,0.022760742068181166,9.190450062392662e-05,0.9827636777229898,0.32572376234755684,0.9605023796039455,False,0.57333762731586,0.5727307107117574,0.004497661670125152,0.10337286096239565,156.76416198952427
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5,2018-02-01,2026-06-30,2113,8.946064484032971e-05,0.022544082499763085,9.144488165278286e-05,0.9783012807650917,0.32792533665801493,0.970929056201839,False,0.57691305700741,0.5759090538204319,0.004478776825980863,0.08404919258359053,254.1143709576115
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,2018-02-01,2026-06-30,2113,8.352260498429993e-05,0.021047696456043583,9.172978008788483e-05,0.9105287825205539,0.36254370962508653,0.9610000643085737,False,0.5787023751448004,0.5775020970113098,0.004469295975937442,0.07764971122923137,259.4547829393575
Inverse Volatility,CAPM,2018-02-01,2026-06-30,2113,-1.148136748084484e-05,-0.0028933046051729,8.2825801906141e-05,-0.13862066187847644,0.8897499151276533,0.9369582845530154,False,0.6429057408206671,0.6427365820053288,0.003726253433122212,0.12111756747251363,79.80383023145882
Inverse Volatility,FF3,2018-02-01,2026-06-30,2113,4.054392385731448e-06,0.0010217068812043248,8.186860975149965e-05,0.049523161539422385,0.9605023796039455,0.9605023796039455,False,0.6605424253485379,0.6600595553988203,0.0036330695089433394,0.08350134286651854,156.76416198952427
Inverse Volatility,FF5,2018-02-01,2026-06-30,2113,2.979381899581494e-06,0.0007508042386945365,8.175437118080673e-05,0.03644308991127016,0.9709290562018391,0.970929056201839,False,0.6632255436874748,0.662426363677241,0.003618682889013132,0.06790858014475858,254.1143709576115
Inverse Volatility,FF5_MOM,2018-02-01,2026-06-30,2113,4.007133130006221e-06,0.0010097975487615679,8.194772427473691e-05,0.04889865051739518,0.9610000643085737,0.9610000643085737,False,0.6632909025778911,0.6623316174000504,0.003618331727322738,0.06286502734902097,259.4547829393575
Equal Risk Contribution,CAPM,2018-02-01,2026-06-30,2113,-7.009235599648995e-06,-0.0017663273711115467,8.86196596693446e-05,-0.07909346104241062,0.9369582845530154,0.9369582845530154,False,0.5224115194236916,0.5221852813940486,0.004053342364275002,0.13174921569489884,79.80383023145882
Equal Risk Contribution,FF3,2018-02-01,2026-06-30,2113,8.44216822079991e-06,0.002127426391641577,8.728878091709928e-05,0.09671538692718924,0.9229524201157764,0.9605023796039455,False,0.5460828021932774,0.5454371162789009,0.003951615543147021,0.09082270612569483,156.76416198952427
Equal Risk Contribution,FF5,2018-02-01,2026-06-30,2113,7.329767813164527e-06,0.0018471014889174609,8.711713593104379e-05,0.08413692363539466,0.9329475678937995,0.970929056201839,False,0.5504731558301355,0.5494064096408382,0.003932458806678111,0.07379693170961711,254.1143709576115
Equal Risk Contribution,FF5_MOM,2018-02-01,2026-06-30,2113,7.015256113629937e-06,0.001767844540634744,8.7314942313876e-05,0.0803442793148943,0.93596344221777,0.9610000643085737,False,0.5504800740036133,0.549199390453766,0.0039324285464864845,0.06832215693663336,259.4547829393575
