strategy,stress_period,rolling_window,total_strategy_return,rf_component,actual_excess_return,alpha_component,MKT_RF_component,SMB_component,HML_component,RMW_component,CMA_component,MOM_component,predicted_excess_return,residual_component,factor_explained_fraction_of_excess
Combined Robust Max Sharpe λ=0.50 γ=0.10,2022_RATE_HIKE,252,-0.20993933754752803,0.0065000000000000014,-0.216439337547528,-0.0031638147123339193,-0.036769746838051995,0.00011682975256842483,-0.06424768586968846,0.00046203183771265067,0.01818209115562557,0.011146305113260183,-0.07427398956090754,-0.14216534798662048,0.34316307932978074
Combined Robust Max Sharpe λ=0.50 γ=0.10,2022_RATE_HIKE,504,-0.20993933754752803,0.0065000000000000014,-0.216439337547528,-0.0027870893379686418,-0.050500059937838376,-0.00013744790764864858,-0.03233911977787395,0.00033251646831432237,-0.005642969550569034,0.010734958963030044,-0.08033921108055427,-0.13610012646697375,0.3711858111879156
Combined Robust Max Sharpe λ=0.50 γ=0.10,COVID,252,-0.0010587653412700883,0.0029000000000000002,-0.003958765341270064,0.012193137134181565,-0.023146895440968873,-0.0007437332618659033,0.02738633556077798,0.0006324070090419921,4.747058712221296e-05,-0.0014574948058583902,0.014911226782430585,-0.018869992123700684,-3.7666356798119076
Combined Robust Max Sharpe λ=0.50 γ=0.10,COVID,504,-0.0010587653412700883,0.0029000000000000002,-0.003958765341270064,0.0031845391526525452,-0.029296106159767635,0.00258835141666172,0.02775587392422957,0.0005339675457397071,2.8866033411049722e-05,-0.0007496544037438242,0.004045837509183154,-0.008004602850453247,-1.0219947787774548
Equal Risk Contribution,2022_RATE_HIKE,252,-0.23535200107075943,0.0065000000000000014,-0.2418520010707594,-0.005526631175940461,-0.04341788426753014,0.001235028681256045,-0.045208777005958524,0.0003008417106309786,0.01281243511486621,0.0036318134556838667,-0.07617317348699199,-0.16567882758376742,0.31495779712281874
Equal Risk Contribution,2022_RATE_HIKE,504,-0.23535200107075943,0.0065000000000000014,-0.2418520010707594,-0.0014020841500389986,-0.05495118750065291,0.001604489512275824,-0.015092275735864568,0.00019612598436843421,-0.013991115491260999,0.0037299987305442926,-0.07990604865062896,-0.1619459524201305,0.3303923403439221
Equal Risk Contribution,COVID,252,-0.013852930276650457,0.0029000000000000002,-0.01675293027665048,0.014518299569051646,-0.019661424125987474,-0.0037689018128573043,0.03537695634066154,0.0006452512034904147,9.071746996567795e-05,-0.0015775761143828108,0.025623322529941688,-0.04237625280659216,-1.5294830281514622
Equal Risk Contribution,COVID,504,-0.013852930276650457,0.0029000000000000002,-0.01675293027665048,0.004393330597534256,-0.023589369352955383,-0.00030482892081964096,0.03524163399172444,0.00033342174433065666,8.747971229884364e-05,-0.00015693300605023632,0.016004734766062914,-0.03275766504271338,-0.9553394243137053
Equal Weight,2022_RATE_HIKE,252,-0.24142729886058154,0.0065000000000000014,-0.2479272988605815,-0.005302083618836153,-0.0989866775119048,0.0016819998426104896,-0.030570553761357994,0.00011961102795295076,0.01342137682861532,0.0018519433876461784,-0.11778438380527406,-0.13014291505530745,0.47507629997416495
Equal Weight,2022_RATE_HIKE,504,-0.24142729886058154,0.0065000000000000014,-0.2479272988605815,-0.0023683341904234367,-0.10457424234064186,0.002525078074320547,-0.011191114669582145,0.0001225164499304755,-0.009889501849124679,0.00042250553082990417,-0.12495309299469118,-0.12297420586589032,0.5039908617120732
Equal Weight,COVID,252,-0.05355742241286352,0.0029000000000000002,-0.05645742241286352,0.008394870108296735,-0.04731324320899458,-0.004199273914000302,0.030624733446537614,4.858545211738343e-05,7.314449808284692e-05,-0.0009958604534736446,-0.013367044071433937,-0.04309037834142958,0.23676327221747778
Equal Weight,COVID,504,-0.05355742241286352,0.0029000000000000002,-0.05645742241286352,0.0011843592031287008,-0.04925803396559812,-0.0018694454529997078,0.02985067709446248,-0.0001080512283267759,6.721626767148849e-05,0.00018086508130078766,-0.019952413000361144,-0.0365050094125024,0.3534063750635398
Inverse Volatility,2022_RATE_HIKE,252,-0.2297583293678839,0.0065000000000000014,-0.2362583293678839,-0.008258133908352325,-0.06011133263622676,0.0012064861746993072,-0.037401210566800465,0.0002181143407323572,0.013064592705603922,0.0026872385156401103,-0.08859424537470381,-0.14766408399318004,0.3749888759974741
Inverse Volatility,2022_RATE_HIKE,504,-0.2297583293678839,0.0065000000000000014,-0.2362583293678839,-0.0001093474724908931,-0.06838956624015945,0.0018629758164998437,-0.012404982039565977,0.0001863608625010376,-0.013055089389219447,0.0023736000764904637,-0.08953604838594444,-0.14672228098193946,0.3789752032256419
Inverse Volatility,COVID,252,-0.022821236964126183,0.0029000000000000002,-0.02572123696412621,0.013105743204472485,-0.025625302575778212,-0.003427251779438698,0.033784754065935875,0.0004144675803055477,8.85292662331902e-05,-0.0014707171133101576,0.016870222648420044,-0.042591459612546234,-0.6558869105692386
