strategy,stress_period,start,end,observation_count,cumulative_return,annualized_volatility,maximum_drawdown,worst_daily_return,realized_period_cvar_95_loss
Minimum CVaR,COVID,2020-02-20,2020-04-30,50,-0.00303894667885118,0.230379726720705,-0.149361942976566,-0.0426183246351082,0.0391856155918829
Minimum CVaR,2022,2022-01-03,2022-10-31,209,-0.198230189508076,0.104534832145128,-0.206230398370672,-0.0244388799599827,0.0136754887755558
SPY,COVID,2020-02-20,2020-04-30,50,-0.136406694594619,0.66163237926747,-0.334438565659494,-0.109423496538356,0.0976590542346761
SPY,2022,2022-01-03,2022-10-31,209,-0.177443037359229,0.244179730348581,-0.244963870715085,-0.0434826784114106,0.0349023835353635
Equal Weight,COVID,2020-02-20,2020-04-30,50,-0.067318825298102,0.404238020075891,-0.218683939216796,-0.0701631234973602,0.066420063683137
Equal Weight,2022,2022-01-03,2022-10-31,209,-0.222829747015975,0.159507690716157,-0.248421181205449,-0.0348158628423714,0.0218365851469886
Minimum Variance,COVID,2020-02-20,2020-04-30,50,-0.0055832413052217,0.227206530744189,-0.149355530139458,-0.0432183475699372,0.0385168166143578
Minimum Variance,2022,2022-01-03,2022-10-31,209,-0.201753308461578,0.107540986351266,-0.209696602315531,-0.0249471738273912,0.0143820431011951
Maximum Sharpe,COVID,2020-02-20,2020-04-30,50,-0.0319944236354498,0.300318490207194,-0.177489370990397,-0.0562020935886645,0.048723268987587
Maximum Sharpe,2022,2022-01-03,2022-10-31,209,-0.214599089826117,0.169525606164021,-0.245278700904876,-0.036771898935543,0.0244762264309978
Combined Robust Max Sharpe λ=0.50 γ=0.10,COVID,2020-02-20,2020-04-30,50,-0.0065159257461721,0.236690117818055,-0.144037538435122,-0.0442165678135531,0.0379329098636107
Combined Robust Max Sharpe λ=0.50 γ=0.10,2022,2022-01-03,2022-10-31,209,-0.194944155235455,0.128171278350084,-0.211007270899733,-0.0287232203646422,0.0185472675562281
Inverse Volatility,COVID,2020-02-20,2020-04-30,50,-0.0309440079250431,0.295945184946095,-0.174850660388425,-0.0539321570386081,0.0491073946774752
Inverse Volatility,2022,2022-01-03,2022-10-31,209,-0.210703965380187,0.127529588647492,-0.22637170549897,-0.0300272315382441,0.0171733397360963
Equal Risk Contribution,COVID,2020-02-20,2020-04-30,50,-0.0200789572996043,0.255820339892354,-0.154400760445187,-0.0478752141226545,0.0437725069654006
Equal Risk Contribution,2022,2022-01-03,2022-10-31,209,-0.214493674203657,0.119835601216773,-0.226130861798171,-0.0288816986787298,0.0163042019582708
