strategy,scenario,confidence,realized_var_loss,realized_cvar_loss,percentile_01_return,percentile_05_return,mean_worst_1pct_return,mean_worst_5pct_return,worst_single_day,worst_5d_compounded_return,worst_21d_compounded_return
Combined Robust Max Sharpe λ=0.50 γ=0.10,gross,0.95,0.0106449915308005,0.0161202606372233,-0.0187619324179237,-0.010602557759815,-0.0260268362834946,-0.0161151909436062,-0.0442165678135531,-0.0936075361384801,-0.142336142503983
Equal Risk Contribution,gross,0.95,0.0089567423529594,0.0135473112658394,-0.0152059997333533,-0.00890778929120093,-0.0229031673118298,-0.0135430607390682,-0.0478752141226545,-0.100213985763055,-0.151903183319582
Equal Weight,gross,0.95,0.0118948929808493,0.0183180827074278,-0.0197428519619327,-0.0117779582428354,-0.0322407258396102,-0.0183121353095328,-0.0701631234973602,-0.136562857187305,-0.218140774000227
Inverse Volatility,gross,0.95,0.0092261125445431,0.0143783826907525,-0.0151743484408479,-0.00921952936448909,-0.0249165845372345,-0.0143736120702467,-0.0539321570386081,-0.111737459361051,-0.173440012505082
Maximum Sharpe,gross,0.95,0.0136599140680476,0.0196575663881671,-0.0228502964053505,-0.013609874534741,-0.0320614077560036,-0.0196520130063892,-0.0562020935886645,-0.113486158635614,-0.177105193351124
Minimum CVaR,gross,0.95,0.00790095649474092,0.0115662817482273,-0.0128404895539834,-0.00782716107011466,-0.0194936245526293,-0.0115628879285482,-0.0426183246351082,-0.0944554273730253,-0.144056335337734
Minimum Variance,gross,0.95,0.0077983967494215,0.0114885832542066,-0.0125144111362412,-0.00775288222199169,-0.0191708905286104,-0.0114851664148503,-0.0432183475699372,-0.0948708481485454,-0.142881788373069
SPY,gross,0.95,0.0177096110380425,0.0290584018887836,-0.0335028691398063,-0.0176892492249994,-0.0500414413985132,-0.029047893749107,-0.109423496538356,-0.179693086487207,-0.327512935463137
Combined Robust Max Sharpe λ=0.50 γ=0.10,gross,0.99,0.0188214152908102,0.0261670715391446,-0.0187619324179237,-0.010602557759815,-0.0260268362834946,-0.0161151909436062,-0.0442165678135531,-0.0936075361384801,-0.142336142503983
Equal Risk Contribution,gross,0.99,0.015517810374842,0.0230469045645423,-0.0152059997333533,-0.00890778929120093,-0.0229031673118298,-0.0135430607390682,-0.0478752141226545,-0.100213985763055,-0.151903183319582
Equal Weight,gross,0.99,0.0201556007260323,0.0324759321671219,-0.0197428519619327,-0.0117779582428354,-0.0322407258396102,-0.0183121353095328,-0.0701631234973602,-0.136562857187305,-0.218140774000227
Inverse Volatility,gross,0.99,0.0152433983220435,0.0251048485877618,-0.0151743484408479,-0.00921952936448909,-0.0249165845372345,-0.0143736120702467,-0.0539321570386081,-0.111737459361051,-0.173440012505082
Maximum Sharpe,gross,0.99,0.0232211007827529,0.0322334619232309,-0.0228502964053505,-0.013609874534741,-0.0320614077560036,-0.0196520130063892,-0.0562020935886645,-0.113486158635614,-0.177105193351124
Minimum CVaR,gross,0.99,0.0128968693387125,0.0196220136717139,-0.0128404895539834,-0.00782716107011466,-0.0194936245526293,-0.0115628879285482,-0.0426183246351082,-0.0944554273730253,-0.144056335337734
Minimum Variance,gross,0.99,0.0125856553760161,0.0192990554389018,-0.0125144111362412,-0.00775288222199169,-0.0191708905286104,-0.0114851664148503,-0.0432183475699372,-0.0948708481485454,-0.142881788373069
SPY,gross,0.99,0.0338490766755762,0.0503565847341774,-0.0335028691398063,-0.0176892492249994,-0.0500414413985132,-0.029047893749107,-0.109423496538356,-0.179693086487207,-0.327512935463137
Combined Robust Max Sharpe λ=0.50 γ=0.10,net_10bps,0.95,0.0106449915308005,0.0161202606372233,-0.0187619324179237,-0.010602557759815,-0.0260268362834946,-0.0161151909436062,-0.0442165678135531,-0.0936075361384801,-0.142336142503983
Equal Risk Contribution,net_10bps,0.95,0.0089567423529594,0.0135490071216608,-0.0152059997333533,-0.00890778929120093,-0.0229031673118298,-0.0135447550246528,-0.0478752141226545,-0.100213985763055,-0.151903183319582
Equal Weight,net_10bps,0.95,0.0118948929808493,0.0183180827074278,-0.0197428519619327,-0.0117779582428354,-0.0322407258396102,-0.0183121353095328,-0.0701631234973602,-0.136562857187305,-0.218140774000227
Inverse Volatility,net_10bps,0.95,0.0092261125445431,0.014379763067708,-0.0151743484408479,-0.00921952936448909,-0.0249206267059319,-0.0143749911690754,-0.0539321570386081,-0.111737459361051,-0.173440012505082
Maximum Sharpe,net_10bps,0.95,0.0136599140680476,0.0196575663881671,-0.0228502964053505,-0.013609874534741,-0.0320614077560036,-0.0196520130063892,-0.0562020935886645,-0.113486158635614,-0.177105193351124
Minimum CVaR,net_10bps,0.95,0.00790095649474092,0.0115680273307405,-0.0128404895539834,-0.00782716107011466,-0.0194936245526293,-0.0115646318947812,-0.0426183246351082,-0.0944554273730253,-0.144056335337734
Minimum Variance,net_10bps,0.95,0.0077983967494215,0.0114896691128221,-0.0125144111362412,-0.00775288222199169,-0.0191708905286104,-0.0114862512680412,-0.0432183475699372,-0.0948708481485454,-0.142881788373069
SPY,net_10bps,0.95,0.0177096110380425,0.0290584018887836,-0.0335028691398063,-0.0176892492249994,-0.0500414413985132,-0.029047893749107,-0.109423496538356,-0.179693086487207,-0.327512935463137
Combined Robust Max Sharpe λ=0.50 γ=0.10,net_10bps,0.99,0.0188214152908102,0.0261670715391446,-0.0187619324179237,-0.010602557759815,-0.0260268362834946,-0.0161151909436062,-0.0442165678135531,-0.0936075361384801,-0.142336142503983
Equal Risk Contribution,net_10bps,0.99,0.015517810374842,0.0230469045645423,-0.0152059997333533,-0.00890778929120093,-0.0229031673118298,-0.0135447550246528,-0.0478752141226545,-0.100213985763055,-0.151903183319582
Equal Weight,net_10bps,0.99,0.0201556007260323,0.0324759321671219,-0.0197428519619327,-0.0117779582428354,-0.0322407258396102,-0.0183121353095328,-0.0701631234973602,-0.136562857187305,-0.218140774000227
Inverse Volatility,net_10bps,0.99,0.0152433983220435,0.025108969427027,-0.0151743484408479,-0.00921952936448909,-0.0249206267059319,-0.0143749911690754,-0.0539321570386081,-0.111737459361051,-0.173440012505082
Maximum Sharpe,net_10bps,0.99,0.0232211007827529,0.0322334619232309,-0.0228502964053505,-0.013609874534741,-0.0320614077560036,-0.0196520130063892,-0.0562020935886645,-0.113486158635614,-0.177105193351124
