strategy,asset,mean_weight,weight_std,minimum_weight,maximum_weight,average_absolute_monthly_weight_change,cap_hit_count,instability_rank_proxy
Combined Robust Max Sharpe λ=0.50 γ=0.10,IEF,0.218787586692587,0.126512061200324,0,0.300000000000016,0.00976129504578575,44,0.136273356246109
Combined Robust Max Sharpe λ=0.50 γ=0.10,QQQ,0.160917833397991,0.114198585756789,0,0.3,0.0207666607513659,15,0.134965246508155
Combined Robust Max Sharpe λ=0.50 γ=0.10,LQD,0.0976078586972762,0.123257741696409,0,0.300000000000004,0.0110387750679109,15,0.13429651676432
Combined Robust Max Sharpe λ=0.50 γ=0.10,TLT,0.0751855814945437,0.112895231547804,0,0.3,0.00957411209973346,3,0.122469343647537
Combined Robust Max Sharpe λ=0.50 γ=0.10,SPY,0.20884111008246,0.10698723667038,0,0.300000000000016,0.0146012330496301,27,0.12158846972001
Combined Robust Max Sharpe λ=0.50 γ=0.10,GLD,0.201381543131859,0.0862374252079543,0.0641766934469854,0.300000000000016,0.013980374344076,25,0.10021779955203
Combined Robust Max Sharpe λ=0.50 γ=0.10,EFA,0.0273396842997169,0.0482552741634818,0,0.139366600186829,0.00422323030869348,0,0.0524785044721753
Combined Robust Max Sharpe λ=0.50 γ=0.10,IWM,0.00993880220356244,0.0192336599985604,0,0.0811994069123812,0.00615644750406297,0,0.0253901075026234
Combined Robust Max Sharpe λ=0.50 γ=0.10,VNQ,1.93361615606498e-15,1.08652628560454e-14,0,8.73658138691061e-14,2.04726809201571e-15,0,1.29125309480611e-14
Combined Robust Max Sharpe λ=0.50 γ=0.10,EEM,1.97818747637437e-15,1.06952858254742e-14,0,8.53073215711311e-14,2.0753666073474e-15,0,1.27706524328216e-14
Equal Risk Contribution,IEF,0.254176540055601,0.0428809522158817,0.188549606215178,0.3,0.00378823006364097,23,0.0466691822795227
Equal Risk Contribution,TLT,0.129306881145084,0.0304684084472188,0.0960446213601785,0.181013112616764,0.00300066212617631,0,0.0334690705733951
Equal Risk Contribution,LQD,0.13594152789503,0.0256542336344638,0.106153030274183,0.178495223431395,0.00236950053174174,0,0.0280237341662055
Equal Risk Contribution,GLD,0.117585848737059,0.0142978980782436,0.088489528068406,0.144826913505212,0.00232946087851842,0,0.0166273589567621
Equal Risk Contribution,EEM,0.0600382359971589,0.014443054475955,0.0421533657909168,0.0851252007025418,0.00118460683355858,0,0.0156276613095136
Equal Risk Contribution,VNQ,0.0579731072610093,0.0100360816011893,0.0441405146484853,0.0771985359864581,0.00114160063023772,0,0.011177682231427
Equal Risk Contribution,SPY,0.0664722155243804,0.00993079030094624,0.0525636280320995,0.0802924506226023,0.00120107836111342,0,0.0111318686620597
