milestone,strategy,evidence_type,metric,value,source_artifact,status,comparison_limitation
M3,SPY,concentration,mean_hhi,1.0,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Equal Weight,concentration,mean_hhi,0.1,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Minimum Variance,concentration,mean_hhi,0.2283904315866191,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Maximum Sharpe,concentration,mean_hhi,0.2637956586837691,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Shrunk Max Sharpe λ=0.25,concentration,mean_hhi,0.2612462880876179,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Shrunk Max Sharpe λ=0.50,concentration,mean_hhi,0.255374889880046,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Shrunk Max Sharpe λ=0.75,concentration,mean_hhi,0.2495198696127435,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Turnover-Aware Max Sharpe γ=0.05,concentration,mean_hhi,0.2601188748923639,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Turnover-Aware Max Sharpe γ=0.10,concentration,mean_hhi,0.2624696343315195,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Turnover-Aware Max Sharpe γ=0.25,concentration,mean_hhi,0.257891512590335,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M3,Combined Robust Max Sharpe λ=0.50 γ=0.10,concentration,mean_hhi,0.2513515583193388,results/milestone3_canonical/concentration_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,SPY,stress,cumulative_return,-0.2337127372346373,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Equal Weight,stress,cumulative_return,-0.1358232307530068,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Minimum Variance,stress,cumulative_return,-0.0521859249408471,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Maximum Sharpe,stress,cumulative_return,-0.0820492354041784,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Combined Robust Max Sharpe λ=0.50 γ=0.10,stress,cumulative_return,-0.0567367571719111,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Inverse Volatility,stress,cumulative_return,-0.085806432380701,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Equal Risk Contribution,stress,cumulative_return,-0.0678927401213147,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,SPY,stress,cumulative_return,-0.1376501781684453,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Equal Weight,stress,cumulative_return,-0.1746291284971152,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Minimum Variance,stress,cumulative_return,-0.1529427321259286,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Maximum Sharpe,stress,cumulative_return,-0.1681209779696737,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Combined Robust Max Sharpe λ=0.50 γ=0.10,stress,cumulative_return,-0.1502757060087678,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Inverse Volatility,stress,cumulative_return,-0.1622203622151141,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M4,Equal Risk Contribution,stress,cumulative_return,-0.1647427445164508,results/milestone4_canonical/stress_period_analysis.csv,CERTIFIED,Supplemental only; not merged into M7 primary metric columns.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_MKT_RF,0.4411808521635165,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_SMB,-0.0195035858884324,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_HML,-0.1091691072543287,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_RMW,0.0244300626236196,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_CMA,0.0753618288932779,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_MOM,0.0213819441640139,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_MKT_RF,0.441727750778051,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_SMB,-0.0106709963368125,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_HML,-0.100592970266717,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_RMW,0.0341703711655639,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
M5,Combined Robust Max Sharpe λ=0.50 γ=0.10,factor_exposure,beta_CMA,0.0467818328066845,results/milestone5_canonical/rolling_exposure_summary.csv,PUBLIC_EXPLANATORY,Public M5 factor evidence is explanatory only and not a direct performance comparison.
