date,strategy,asset,weight
2018-02-01,Equal Weight,SPY,0.1
2018-02-01,Equal Weight,QQQ,0.1
2018-02-01,Equal Weight,IWM,0.1
2018-02-01,Equal Weight,EFA,0.1
2018-02-01,Equal Weight,EEM,0.1
2018-02-01,Equal Weight,TLT,0.1
2018-02-01,Equal Weight,IEF,0.1
2018-02-01,Equal Weight,LQD,0.1
2018-02-01,Equal Weight,GLD,0.1
2018-02-01,Equal Weight,VNQ,0.1
2018-02-01,Minimum Variance,SPY,0.2818082277358502
2018-02-01,Minimum Variance,QQQ,0.0
2018-02-01,Minimum Variance,IWM,0.0005672209237063965
2018-02-01,Minimum Variance,EFA,3.8872339066407784e-17
2018-02-01,Minimum Variance,EEM,3.717338092868037e-18
2018-02-01,Minimum Variance,TLT,0.008153654752292065
2018-02-01,Minimum Variance,IEF,0.29999999999999993
2018-02-01,Minimum Variance,LQD,0.29999999999999993
2018-02-01,Minimum Variance,GLD,0.10947089658815146
2018-02-01,Minimum Variance,VNQ,0.0
2018-02-01,Maximum Sharpe,SPY,0.3000000000000004
2018-02-01,Maximum Sharpe,QQQ,0.3000000000000004
2018-02-01,Maximum Sharpe,IWM,0.0
2018-02-01,Maximum Sharpe,EFA,0.0
2018-02-01,Maximum Sharpe,EEM,0.0
2018-02-01,Maximum Sharpe,TLT,0.0
2018-02-01,Maximum Sharpe,IEF,2.3700367284607348e-17
2018-02-01,Maximum Sharpe,LQD,0.3000000000000004
2018-02-01,Maximum Sharpe,GLD,0.09999999999999899
2018-02-01,Maximum Sharpe,VNQ,0.0
2018-03-01,Equal Weight,SPY,0.1
2018-03-01,Equal Weight,QQQ,0.1
2018-03-01,Equal Weight,IWM,0.1
2018-03-01,Equal Weight,EFA,0.1
2018-03-01,Equal Weight,EEM,0.1
2018-03-01,Equal Weight,TLT,0.1
2018-03-01,Equal Weight,IEF,0.1
2018-03-01,Equal Weight,LQD,0.1
2018-03-01,Equal Weight,GLD,0.1
2018-03-01,Equal Weight,VNQ,0.1
2018-03-01,Minimum Variance,SPY,0.24638682984948507
2018-03-01,Minimum Variance,QQQ,0.0
2018-03-01,Minimum Variance,IWM,0.01883857823483624
2018-03-01,Minimum Variance,EFA,0.0
2018-03-01,Minimum Variance,EEM,0.0
2018-03-01,Minimum Variance,TLT,0.01908013841352617
2018-03-01,Minimum Variance,IEF,0.3
2018-03-01,Minimum Variance,LQD,0.3
2018-03-01,Minimum Variance,GLD,0.11569445350215245
2018-03-01,Minimum Variance,VNQ,0.0
2018-03-01,Maximum Sharpe,SPY,0.28813553493038896
2018-03-01,Maximum Sharpe,QQQ,0.2999999999999999
2018-03-01,Maximum Sharpe,IWM,0.0
2018-03-01,Maximum Sharpe,EFA,0.0
2018-03-01,Maximum Sharpe,EEM,2.0674796210506376e-17
2018-03-01,Maximum Sharpe,TLT,0.0
2018-03-01,Maximum Sharpe,IEF,0.0
2018-03-01,Maximum Sharpe,LQD,0.23243497579538383
2018-03-01,Maximum Sharpe,GLD,0.17942948927422728
2018-03-01,Maximum Sharpe,VNQ,0.0
2018-05-01,Equal Weight,SPY,0.1
2018-05-01,Equal Weight,QQQ,0.1
2018-05-01,Equal Weight,IWM,0.1
2018-05-01,Equal Weight,EFA,0.1
2018-05-01,Equal Weight,EEM,0.1
2018-05-01,Equal Weight,TLT,0.1
2018-05-01,Equal Weight,IEF,0.1
2018-05-01,Equal Weight,LQD,0.1
2018-05-01,Equal Weight,GLD,0.1
2018-05-01,Equal Weight,VNQ,0.1
2018-05-01,Minimum Variance,SPY,0.18922728686368226
2018-05-01,Minimum Variance,QQQ,6.161217194685755e-18
2018-05-01,Minimum Variance,IWM,0.034900479131128474
2018-05-01,Minimum Variance,EFA,0.027677705874302076
2018-05-01,Minimum Variance,EEM,5.000288173104942e-18
2018-05-01,Minimum Variance,TLT,0.030680346921349837
2018-05-01,Minimum Variance,IEF,0.3
2018-05-01,Minimum Variance,LQD,0.3
2018-05-01,Minimum Variance,GLD,0.11751418120953734
2018-05-01,Minimum Variance,VNQ,1.732151667075933e-17
2018-05-01,Maximum Sharpe,SPY,0.3
2018-05-01,Maximum Sharpe,QQQ,0.3
2018-05-01,Maximum Sharpe,IWM,0.01152980768743263
2018-05-01,Maximum Sharpe,EFA,2.953648815472752e-16
2018-05-01,Maximum Sharpe,EEM,2.391364238505569e-16
2018-05-01,Maximum Sharpe,TLT,0.14220924713001493
2018-05-01,Maximum Sharpe,IEF,0.0
2018-05-01,Maximum Sharpe,LQD,1.9084682160884954e-16
2018-05-01,Maximum Sharpe,GLD,0.2462609451825518
2018-05-01,Maximum Sharpe,VNQ,0.0
2018-06-01,Equal Weight,SPY,0.1
2018-06-01,Equal Weight,QQQ,0.1
2018-06-01,Equal Weight,IWM,0.1
2018-06-01,Equal Weight,EFA,0.1
2018-06-01,Equal Weight,EEM,0.1
2018-06-01,Equal Weight,TLT,0.1
2018-06-01,Equal Weight,IEF,0.1
2018-06-01,Equal Weight,LQD,0.1
2018-06-01,Equal Weight,GLD,0.1
2018-06-01,Equal Weight,VNQ,0.1
2018-06-01,Minimum Variance,SPY,0.17764076914006763
2018-06-01,Minimum Variance,QQQ,1.7810795987447605e-17
2018-06-01,Minimum Variance,IWM,0.03082555237891566
2018-06-01,Minimum Variance,EFA,0.04375296542540904
2018-06-01,Minimum Variance,EEM,0.0
2018-06-01,Minimum Variance,TLT,0.03803159853250011
2018-06-01,Minimum Variance,IEF,0.3
2018-06-01,Minimum Variance,LQD,0.2999999999999998
2018-06-01,Minimum Variance,GLD,0.10974911452310762
2018-06-01,Minimum Variance,VNQ,1.8303289955705062e-17
2018-06-01,Maximum Sharpe,SPY,0.19152464560411658
2018-06-01,Maximum Sharpe,QQQ,0.2999999999999999
2018-06-01,Maximum Sharpe,IWM,0.09921208362860172
2018-06-01,Maximum Sharpe,EFA,0.0
2018-06-01,Maximum Sharpe,EEM,0.0
2018-06-01,Maximum Sharpe,TLT,0.2732439726226793
2018-06-01,Maximum Sharpe,IEF,2.035053127601784e-16
2018-06-01,Maximum Sharpe,LQD,3.668241988204765e-17
2018-06-01,Maximum Sharpe,GLD,0.1360192981446022
2018-06-01,Maximum Sharpe,VNQ,0.0
2018-08-01,Equal Weight,SPY,0.1
2018-08-01,Equal Weight,QQQ,0.1
2018-08-01,Equal Weight,IWM,0.1
2018-08-01,Equal Weight,EFA,0.1
2018-08-01,Equal Weight,EEM,0.1
2018-08-01,Equal Weight,TLT,0.1
2018-08-01,Equal Weight,IEF,0.1
2018-08-01,Equal Weight,LQD,0.1
2018-08-01,Equal Weight,GLD,0.1
2018-08-01,Equal Weight,VNQ,0.1
2018-08-01,Minimum Variance,SPY,0.1802537760441794
2018-08-01,Minimum Variance,QQQ,0.0
2018-08-01,Minimum Variance,IWM,0.030134011874537823
2018-08-01,Minimum Variance,EFA,0.03763049528311978
2018-08-01,Minimum Variance,EEM,9.386601802102187e-18
2018-08-01,Minimum Variance,TLT,0.05150886951070617
2018-08-01,Minimum Variance,IEF,0.3
2018-08-01,Minimum Variance,LQD,0.30000000000000004
2018-08-01,Minimum Variance,GLD,0.10047284728745684
2018-08-01,Minimum Variance,VNQ,2.0656650124232344e-17
2018-08-01,Maximum Sharpe,SPY,0.17925561216499256
2018-08-01,Maximum Sharpe,QQQ,0.3000000000000004
2018-08-01,Maximum Sharpe,IWM,0.011248277876146861
2018-08-01,Maximum Sharpe,EFA,0.0
2018-08-01,Maximum Sharpe,EEM,0.0
2018-08-01,Maximum Sharpe,TLT,0.06407492577066153
2018-08-01,Maximum Sharpe,IEF,1.6514473428942583e-17
